text,true_label,predicted_label,prob_fake
watch colbert goes there calls for a new election in hilarious must see monologue late show host stephen colbert has been having a high old time ripping donald trump and his crazy scandal ridden administration to shreds on a nightly basis however no matter his open loathing of trump the comedian never crossed the line of questioning the integrity of the election result until now on tuesday night in a real humdinger of a monologue colbert started in on the story about how nsa contractor reality winner leaked secret documents that revealed that the election hack was much broader than the american public had previously been aware of indeed it seems the russians hacked into the electoral system right up until election day colbert said of this development days before come on guccifer that s poor planning you can t leave your hacking to last minute put some thought into it no one wants an election you just picked up at walgreens that s when colbert hit his home run who really knows who won november th now i mean other than vladimir putin now i m a little rusty on my constitution but i guess that means new election of course the crowd cheered heartily at this and colbert lapped it up and continued let s just get the band back together somebody find jeb and wake him up i don t know where he is check the mild salsa aisle or a store that sells only mayonnaise now all along donald trump has said the entire russia story is fake news and there s no way to know whether this document that was released was real other than the fact that the leaker was immediately arrested all in all there s just so much goodness in this monologue that you just have to watch it for yourself in all seriousness though colbert is right the american public now has very good and valid reasons to question the integrity of the outcome of the presidential election in we do need a new election we have to have faith in our electoral process and we don t have it now it s time to find some constitutional mechanism to make this happen watch colbert s brilliance below featured image via video screen capture,0,1,0.9996061
watch transexual michelle obama look alike kicked out of girls bathroom by security guard presses charges so it begins the suing of americans who don t agree with obama s dangerous decree that allows men to use the little girl s room at will will the first little girl who is raped in the target bathroom receive the same media attention and compassion as this man will get from leftist lgbt agitators and progressive pigs of america d c police have charged a security guard at a giant grocery store with simple assault after a transgender woman said the guard forced her out of the women s restroom ebony belcher said she went to the giant in northeast d c with a friend to pick up a delivery from the western union while at the giant she asked a store employee to point her to the restroom and passed a female security officer standing in the hallway the officer came into the restroom and told her to get out according to belcher via nbcwashingtonalmost as disturbing as the transvestite who is eagerly using the little girls room even though his genitals clearly show he is a male and should be using the bathroom with urinals is jackie bensen the woman reporting for news instead of reporting about a man who was invading the private space of women she instead chooses to behave as though she s just been exposed to a gruesome murder scene we agree with the brilliant commentary on this issue by rick wells did the whole us sign up for some kind of voluntary brainwashing or mind control exercise without inviting me as a similarly perplexed comedic genius once put it satirically what in the wide wide world of sports is a goin on here now life has become stranger than fiction the reporting and hand wringing would and should be laughable if it weren t so seriously deranged words have meaning and pronouns are words he is for boys those with outie plumbing she is for girls the ones with innie plumbing it s no more complicated than that or at least there s no reason for it to be despite claims to the contrary clothes do not make the man or the woman the female reporter joins in describing the bathroom user as a transgender woman and using the female pronouns for the man you mean the mentally unstable man dressed up as a woman who is lurking in about in the ladies room don t you miss liberal news reader and aren t you being quite disingenuous wouldn t you want a pervert lurking around as you were taking care of your own private business to be redirected if you had been in that situation according to the on the scene reporter rather than thanking the security officer for protecting the space and the privacy of the real women from perverts pretending to be women possible hate crime charges are being considered that s good make an example of this hero who stood up to the liberal bullying and turn women s rooms across america into pervert lounges that s what the marxists want along with the complete emasculation of the american male population and manning up of the girls the reporter calls the pervert a transgender woman multiple times misreporting the events she says it was a deeply humiliating experience for the dude looks like a lady which it should have been anywhere that man goes dressed up like a girl he should be embarrassed it s abnormal even more embarrassing should be the fact that when he s dressed up like a girl he looks like a clone of another suspected transsexual michelle obama he s the spitting image right down to the overabundant teeth in his mouth and the freshly weed whacked hairdo his friend identified as earline bud in the report is another of the men parading as a woman though his size clearly restricts him to the handicapped stall of any facility he uses he claims he couldn t believe that his friend was told he had to go to the proper restroom yeah pretty unbelievable isn t it for entire commentary click here rick wells giant store s response,0,1,0.99952793
u s lawmakers say trump administration still lacks clear north korea plan washington reuters u s lawmakers said high profile briefings by the trump administration on north korea on wednesday failed to provide the firm strategy they had hoped for dealing with what they described as a major national security threat as a standoff escalated over the reclusive asian nation s development of nuclear weapons and long range ballistic missiles president donald trump welcomed all members of the senate to a highly unusual meeting at the white house complex with secretary of state rex tillerson secretary of defense jim mattis director of national intelligence dan coats and marine general joseph dunford chairman of the joint chiefs of staff while administration officials often travel to the capitol to brief lawmakers on national security issues this time the entire senate hopped on buses to the white house vice president mike pence and the four officials later briefed the house of representatives that classified meeting took place in a secure auditorium at the capitol complex the briefings came as trump tries to put the best face on his first days in office he has signed executive orders to roll back democratic policies but the period has been defined by an absence of any major legislative achievements a few democrats dismissed the senate white house field trip as little more than a photo opportunity some republicans were a little more enthusiastic it was an ok briefing senator bob corker the republican chairman of the senate foreign relations committee told reporters as he arrived back at the senate i m not certain i would have had the briefing today he said asked if the administration had a firm strategy senator john mccain who chairs the armed services committee said they re developing one this week trump has discussed north korea with u n ambassadors increased the u s military presence in the region and leaned on china to pressure pyongyang tillerson will chair a u n security council meeting on friday to discuss tougher sanctions after their briefing members of the house expressed confidence in the administration officials who spoke but some said they had real concerns representative brad sherman a senior member of the house foreign affairs committee said he was not convinced that the administration would do enough to control pyongyang i regard that level of resolve as very modest weak and maybe even phony the only way to put enough pressure on north korea is to get china to do it sherman told reporters mac thornberry chairman of the house armed services committee said the administration wants to use a variety of tactics to push north korea to give up its nuclear ambitions and said he agreed that all options must be on the table we have to have incredible military presence in the region including missile defense especially for this regime he said,0,1,0.9994923
indonesian envoy to urge myanmar to halt violence against rohingya muslims jakarta reuters indonesian president joko widodo has sent his foreign minister to myanmar to urge its government to halt violence against rohingya muslims he said on sunday after a petrol bomb was thrown at the myanmar embassy in jakarta the embassy attack which police said caused a small fire came in the early hours of sunday morning against the backdrop of mounting anger in indonesia home to the world s biggest muslim population over violence against rohingya muslims in myanmar a police officer patrolling a street behind the embassy spotted a fire on the second floor of the building at about jakarta time gmt and alerted police officers guarding the front gate a jakarta police statement said after the fire was extinguished police found a shattered beer bottle with a wick attached to it the statement said adding that the unknown perpetrator is suspected to have driven away from the scene in an mpv car jakarta police are investigating the incident said spokesman argo yuwono a group of activists had held a protest at the embassy on saturday calling for the nobel prize committee to withdraw the nobel peace prize from myanmar leader aung san suu kyi state news agency antara wrote bit ly erowl protests continued on sunday in jakarta s city center with dozens of people calling for the indonesian government to take an active involvement in efforts to end human rights violations against rohingya muslims in myanmar indonesian president widodo said he has sent foreign minister retno marsudi to myanmar to hold intensive communications with involved parties including the united nations earlier this afternoon the foreign minister has departed to myanmar to ask the myanmar government to stop and prevent violence to provide protection to all citizens including muslims in myanmar and to give access to humanitarian aid widodo said widodo added that concrete actions are needed and the indonesian government is committed to helping to solve the humanitarian crisis and that marsudi will also travel to bangladesh to prepare additional aid for refugees there the treatment of buddhist majority myanmar s roughly million muslim rohingya is the biggest challenge facing leader aung san suu kyi accused by western critics of not speaking out for the minority that has long complained of persecution aid agencies estimate that about rohingya have fled into neighboring bangladesh since violence in myanmar erupted last week,0,1,0.99948066
repeal national identity for a wholesome homogeneity in a new world order run by benevolent elites this whole murderous nonsense stinks to high heaven of the hegelian dialectic assad is the problem mass emigration of refugees the reaction and a fractured europe ripe for further globalization the solution i for one am tired of being treated as an idiot without eyes and being awake to the manipulation by the mass murderers and their pet military trigger pullers prefer nationalism over an envisioned hell on earth but thank you so much for playing,0,1,0.9992993
tired of waiting for politicians voters put minimum wage on ballot in four states tired of waiting for politicians voters put minimum wage on ballot in four states posted on nov by lauren mccauley common dreams we all know that our economy is broken we have seen that elected officials are just failing to do anything about it said jonathan schleifer executive director of the fairness project wisconsin jobs now cc flickr voters tired of waiting for federal lawmakers will soon be casting their ballot in arizona colorado maine and washington to raise the grossly inadequate minimum wage and advocates hope raise the standard of living for roughly million americans while none of the four ballot measures goes so far as to call for the an hour wage that has been the rallying cry of the low wage worker movement and which became a pillar of sen bernie sanders presidential campaign the initiatives signify a determination among americans that it is high time to demand an economy that can work for everyone we all know that our economy is broken we have seen that elected officials are just failing to do anything about it said jonathan schleifer executive director of the fairness project the best way for us to make the changes that impact working americans immediately is not to wait for politicians to figure this out but for us to support ballot measures that allow voters to speak out thus far polls in all four states show that voters believe a wage increase is long overdue and desperately needed added schleifer whose organization helped launch and finance the ballot measures advertisement square site wide we are confident that when working americans see raises in their paychecks even before the next president is inaugurated he said the success of these measures will inspire even more ballot initiatives in the coming years arizona proposition a yes vote on proposition known as the fair wages and healthy families initiative would raise the state s minimum wage from to in and then incrementally to by it also establishes the right to paid sick time off from employment recent polling by arizona republic morrison cronkite news found that roughly percent of voters support the measure with opposed and another percent still undecided enthusiasm for proposition has only gotten stronger over the course of this election season bill scheel campaign manager of arizona healthy families the organization behind proposition said in a wednesday press call over the past three months we have registered new voters already early vote numbers are showing that these arizonans are crucial to raising wages for nearly a million workers in our state the initiative has the support of a number of labor unions family support groups as well as the state democratic party no one who works hours a week should have to live in poverty and decide between buying groceries medicine or paying the bills raising the minimum wage offers hardworking families the opportunity to put food on the table care for their children and creates a better future for our state said u s rep ann kirkpatrick d who is running against incumbent sen john mccain r for his seat in the u s senate mccain opposes the measure as do corporate lobby groups and the chamber of commerce colorado amendment colorado s amendment an initiated constitutional amendment would raise the minimum wage from to per hour in and then increase it cents each year until it reaches in september polling found that roughly percent of voters are in support of the measure while percent are opposed we ve known all along that colorado voters support raising the wage to by and that for many of them especially lower income voters and women they are more enthusiastic voters in this election because of our measure said patty kupfer campaign manager for colorado families for a fair wage the organization supporting amendment as kupfer notes the initiative s primary opponents are industry groups and large restaurant chains who have an interest in keeping wages low amendment is one of many colorado ballot measures this year that progressives nationwide are watching in addition to a measure calling for a single payer healthcare system as well as one that would stiffen requirements for amending the state s constitution which as common dreams previously reported would transfer power away from voters making the state more vulnerable to powerful interests maine question question on the maine ballot asks voters if they want to raise the minimum hourly wage of to in with annual increases up to in and annual cost of living increases thereafter the citizen initiated effort also seeks to raise the wages for tipped workers from half the minimum wage to in with annual increases until it reaches the adjusted minimum wage a poll conducted between oct and oct found that percent of mainers support the wage increase while just percent oppose it and eight percent remain undecided proponents attribute its wide support to two years of organizing to build grassroots support and establish a narrative of an economy that can work for everyone as mike tipping communications director with mainers for fair wages the organization supporting question put it in a recent press call noting that the measure has strong support across every demographic including among small businesses and restaurants tipping said he s proud to see this enthusiasm translate into more young people voting and more mainers voting early to raise the minimum wage washington initiative the most ambitious of the ballot efforts washington state s initiative supports incrementally raising the state s minimum wage from to by and mandates that employers offer paid sick leave paid sick leave and minimum wage are issues that have had a deep effect on working families and drive support for our initiative at the polls said carlo caldirola davis campaign manager for raise up washington the organization supporting initiative voters understand that hard working washingtonians should be able to care for their families and make ends meet the most recent survey from pollster stuart elway found that i is leading to percent with percent undecided the initiative has wide support and has been endorsed by numerous publications advocacy organizations labor groups and public officials including democratic presidential nominee hillary clinton who last spring tweeted we have to do more to raise wages support paid leave for hardworking families i stand with in their work to do just that h hillary clinton march in seattle became the first major city to approve a minimum wage lauren mccauley is a staff writer at common dreams tags,0,1,0.999204
supreme court s gorsuch criticized over trump hotel speech washington reuters president donald trump s supreme court appointee neil gorsuch gave a speech to a conservative group on thursday at a hotel in which trump has a financial interest drawing criticism from protesters outside the building and the top senate democrat about demonstrators appeared outside the trump international hotel located just blocks from the white house saying gorsuch s speech called into question his impartiality as the high court potentially weighs cases involving the republican president including some involving the hotel itself there s a reason we questioned his independence during his confirmation hearings senator chuck schumer said in a statement gorsuch was confirmed by the republican led u s senate to his lifetime position as a justice in april despite unified opposition from democrats who said some of his past rulings favored corporations over ordinary americans and doubted his independence from trump protester josh orton a consultant for abortion rights group naral said if gorsuch continues to make appearances that raise ethics questions the supreme court will be in danger of losing its sacred reputation as a neutral arbiter of justice gorsuch did not address the controversy during his minute speech instead focusing on the work of the event s organizer the fund for american studies which runs student academic programs and fellowships promoting limited government and free market economics he spoke of his job as a justice saying the people and the place are a joy he lauded american values such as free speech and civil rights justices often address a variety of groups across the political spectrum in their spare time but gorsuch s speech comes just days before the opening of the u s supreme court term in which trump s administration has a stake in several major cases the hotel is a focus of lawsuits accusing trump of violating the u s constitution by letting his properties and restaurants accept payments from foreign governments justice gorsuch told the senate during his confirmation that he was committed to the independence and integrity of the judiciary said elizabeth wydra president of the constitutional accountability center which represents more than members of congress in one of those lawsuits his decision to speak at an event that profits the president however sadly falls far short of that standard whether or not speaking at trump s hotel breaks any explicit ethics rules supreme court spokeswoman kathy arberg said gorsuch declined to comment on the ethics issue,0,1,0.9991904
rohingya refugees tell of new violence call for myanmar sanctions cox s bazar bangladesh reuters rohingya muslims fleeing a myanmar military offensive arrived in bangladesh on monday with fresh accounts of violence and arson as a rights group called for sanctions and an arms embargo to stop what the united nations has branded ethnic cleansing the latest wave of violence in western myanmar s rakhine state began on aug when rohingya insurgents attacked police posts and an army camp killing about people the myanmar military response has sent more than rohingya muslims fleeing to bangladesh escaping what they and rights monitors say is a campaign aimed at driving out the muslim population buddhist majority myanmar rejects that saying its forces are carrying out clearance operations against the insurgents of the arakan rohingya salvation army which claimed responsibility for the august attacks and smaller raids in october hundreds of refugees traveled by small boats to an island on the southernmost point of bangladesh late on sunday and on monday telling of persecution and destruction the army came and they burned our homes they killed our people there was a mob of rakhine people too said usman goni after he stepped off a boat with his seven children and wife clutching two sticks tied in rope and a sack many of the refugees have spoken of ethnic rakhine buddhist civilians joining the myanmar army in its attacks myanmar denies that and has blamed muslim insurgents for the violence myanmar has largely sealed the area off to aid workers and reporters rights groups say satellite images show about smouldering muslim villages they have seen evidence of arson attacks on buddhist villagers but on a much smaller scale most of the new arrivals said their villages had been torched on friday when huge clouds of smoke were clearly seen over myanmar there s nothing left said a nurhaba who said she was from a village close to maungdaw town about a million rohingya lived in rakhine state until the recent violence most face draconian travel restrictions and are denied citizenship in a country where many buddhists regard them as illegal immigrants from bangladesh myanmar government leader and nobel laureate aung san suu kyi has faced a barrage of criticism from abroad for not stopping the violence the military remains in charge of security and there is little sympathy for the rohingya in a country where the end of army rule has unleashed old animosities the military campaign in rakhine state has wide support suu kyi is due to speak to the nation on tuesday about a crisis the united states has called a defining moment for her country u s deputy assistant secretary of state patrick murphy is due in myanmar this week he will travel to sittwe the capital of rakhine state to meet government officials and representatives of different communities including rohingya but he is not seeking to travel to the conflict zone in northern rakhine state human rights watch said myanmar security forces were disregarding world condemnation and the time had come to impose tougher measures that the generals could not ignore it called for governments to impose travel bans and asset freezes on security officials implicated in serious abuses expand existing arms embargoes to include all military sales assistance and cooperation and place a ban on financial transactions with key military owned enterprises for years the united states and western allies imposed sanctions on myanmar in support of suu kyi s campaign for democracy its response was to forge closer ties with china u s myanmar ties have been improving since the military began withdrawing from government in and paved the way for a election won by suu kyi s party a trump administration official said the violence made it harder to build warmer ties and there would likely be some easing in the short term but he did not expect a return to sanctions people are too invested in the last five years of thawing which is understood by everyone to be strategically sound said the official who declined to be identified long term the trajectory is probably tighter relations in a rare expression of support for the rohingya from within myanmar a group from the karen ethnic minority called for the military to halt its operations and for economic sanctions to be considered for decades of army battled autonomy seeking karen insurgents that sent more than villagers fleeing to thailand the insurgents have now made peace bangladesh is struggling to cope with the refugees and aid workers fear people could die due to a lack of food shelter and water given the numbers bangladesh has said all refugees must go home myanmar has said it will take back those who can verify their citizenship several thousand protesters tried to march on the myanmar embassy in the bangladeshi capital dhaka but police kept them well back for an interactive on the rohingya exodus click here,0,1,0.9991223
garlic beats drug in detoxifying lead safely from body in natural medicine toxins a remarkable study published in the journal of basic clinical pharmacology toxicology revealed something very special about garlic it is a natural detoxifier of lead and is not only as effective as a common chelation drug known as d penicillamine at pulling this metal out of the body but is also much safer the study was titled comparison of therapeutic effects of garlic and d penicillamine in patients with chronic occupational lead poisoning and sought to confirm previous research in animals that showed garlic allium sativum is effective in reducing blood and tissue lead concentrations the study took the measurements of the blood lead concentrations of workers at a car battery plant who were randomly assigned to two groups of garlic milligrams of allicin from approximately mg of garlic extract three times daily and d penicillamine mg three times daily and treated for weeks clinical signs and symptoms of lead poisoning were also investigated and compared with the initial findings the study found clinical improvement was significant in a number of clinical manifestations including irritability p headache p decreased deep tendon reflex p and mean systolic blood pressure after treatment with garlic but not d penicillamine blcs blood lead concentrations were reduced significantly p and p from to g l and from to g l in the garlic and d penicillamine groups respectively with no significant difference p between the two groups the frequency of side effects was significantly p higher in d penicillamine than in the garlic group thus garlic seems safer clinically and as effective as d penicillamine therefore garlic can be recommended for the treatment of mild to moderate lead poisoning clearly despite the near equal reduction in measurable blood lead concentrations in both groups improvements in various measured clinical manifestations were only found in the garlic group also side effects were higher in the d penicillamine group these results clearly indicate the superiority of garlic over the drug and underscore how drug based interventions often end up normalizing target values e g blood lead concentrations without resulting in improvement in the quality of life or even the objective clinical signs and subjective symptoms of the treated patient to the contrary often the patient feels and is much worse off following drug treatment last year a remarkable study published in the journal basic clinical pharmacology toxicology revealed something very special about garlic it is a natural detoxifier of lead and is not only as effective as a common chelation drug known as d penicillamine at pulling this metal out of the body but is also much safer the study was titled comparison of therapeutic effects of garlic and d penicillamine in patients with chronic occupational lead poisoning and sought to confirm previous research in animals that showed garlic allium sativum is effective in reducing blood and tissue lead concentrations the study took the measurements of the blood lead concentrations of workers at a car battery plant who were randomly assigned to two groups of garlic milligrams of allicin from approximately mg of garlic extract three times daily and d penicillamine mg three times daily and treated for weeks clinical signs and symptoms of lead poisoning were also investigated and compared with the initial findings the study found clinical improvement was significant in a number of clinical manifestations including irritability p headache p decreased deep tendon reflex p and mean systolic blood pressure after treatment with garlic but not d penicillamine blcs blood lead concentrations were reduced significantly p and p from to g l and from to g l in the garlic and d penicillamine groups respectively with no significant difference p between the two groups the frequency of side effects was significantly p higher in d penicillamine than in the garlic group thus garlic seems safer clinically and as effective as d penicillamine therefore garlic can be recommended for the treatment of mild to moderate lead poisoning clearly despite the near equal reduction in measurable blood lead concentrations in both groups improvements in various measured clinical manifestations were only found in the garlic group also side effects were higher in the d penicillamine group these results clearly indicate the superiority of garlic over the drug and underscore how drug based interventions often end up normalizing target values e g blood lead concentrations without resulting in improvement in the quality of life or even the objective clinical signs and subjective symptoms of the treated patient to the contrary often the patient feels and is much worse off following drug treatment lead exposure is ubiquitous in our modern age and has been estimated to account for approximately of all deaths and of disability adjusted life years globally exposure to this heavy metal results in harm to the cardiovascular skeletal gastrointestinal kidney reproductive and nervous systems of the human body it has been identified to be particularly harmful to infants and children whose developing nervous systems are far more susceptible to lead toxicity than those of adults in fact a plos study found decreased brain volume in adults who had been exposed to lead as children the standard of care involving drugs such as d penicillamine is dismal considering that the chemical has been linked to the following side effects anemia aplastic,0,1,0.9990687
thing that proves it s a dream must happen soon reckons everyone thing that proves it s a dream must happen soon reckons everyone people are hoping for a clear sign that they are in a dream such as being able to fly or copping off with a celebrity they have revealed the us election result has convinced many britons they are dreaming but something even more bizarre and implausible will happen soon and make them wake up office worker tom logan said trump s the president apparently so i expect some proper dream weirdness will happen soon like being chased through asda by a cyberman it s an odd dream though because i m at work and it s all very detailed almost like real life still at least i m not naked or i ve got some stressful task to do that s really illogical i m sure any minute now i ll be able to laugh at this whole trump business when holly willoughby turns up and takes me for a sexy ride in her helicopter accountant donna sheridan said this is a long dream but nothing totally incongruous has happened yet like taking my childhood dog to get his nails clipped by coldplay s chris martin trump can t have won the election though because that s insane frankly i ll feel better if it turns into a proper nightmare where i m being made to re sit my a levels by a witch he hasn t won has he maybe i should wait a bit before going for a fly out of the window share,0,1,0.99904734
