text,true_label,predicted_label,prob_fake
stephen colbert just got himself thrown off the rnc stage before it even began video stephen colbert showed up at the site of the disastrous clusterf ck that will be the republican national convention on sunday the late night host and his crew visited with convention goers and made preparations for his coverage of the upcoming event but the comedian decided to have a little fun with the level of access he was granted when he jumped up on the stage and hijacked the microphone dressed as his hungry for power games character colbert launched into an assault on trump and his new sidekick indiana governor mike pence colbert declared that trump has formed an alliance with indiana governor mike pence just before he pretended to fall asleep sorry i blacked out there for a moment colbert says before slamming down a gavel and announcing it is my honor to hereby launch and begin the republican national hungry for power games as a security guard attempts to remove him colbert drops the most memorable line of this stunt the former comedy central host is then escorted off the stage stephen colbert just ran onto the rnc stage pic twitter com uvd hjpex breaking july colbert s hungry for power games is a segment from his late night show and probably one of the more entertaining things he has done since leaving comedy central watch a clip of that below colbert and jon stewart will be teaming up to cover the convention a welcome surprise for everyone who misses the contributions these two have traditionally made to political comedy featured image via screengrab,0,1,0.9973864
watch fox news host furiously directs staff to stop video of trump s embarrassing curtsy to saudi king apparently fox news hosts do not want their viewers to realize that donald trump is an embarrassment to america and a complete hypocrite on saturday trump arrived in saudi arabia a majority islamic nation where sharia law is widely practiced and a nation that trump has trashed in the past when president obama visited saudi arabia he bowed to show respect to the saudi king and trump repeatedly whined about it and claimed that obama was making america look weak well trump s meeting with the saudi king proved that trump is a hypocrite trump not only bowed to accept a gift from saudi king salman he curtsied like a princess here s the footage via youtube trump s curtsy did not go down well with conservatives who spent years complaining about president obama bowing and liberals were quick to point out the hypocrisy and of course fox news is desperately trying to keep footage of trump s curtsy off the air so when footage did pop up during fox host jeanine pirro s show on saturday she clearly became annoyed and gestured furiously with her hand in an effort to get her staff to cut the tape and switch to something else and that s why fox viewers ended up getting a full screen view of kellyanne conway instead of the split screen that had been playing here s the video via youtube trump s bow to the saudi king is embarrassing to fox hosts who also spent years criticizing president obama for showing respect to the leaders of other nations therefore trump is not the only hypocrite here fox news hosts are hypocrites too for refusing to criticize trump in the exact same way they criticized president obama donald trump and fox news had better buckle up and prepare for hell to rain down upon them because every time trump does something that he criticized president obama for doing he is going to get called out for it and fox will be reminded of how they treated him featured image screenshot,0,1,0.9971818
ben carson says obama was raised white sparking twitter furor new york reuters republican presidential candidate ben carson s comments that president barack obama was raised white prompted backlash on social media on tuesday with many users criticizing the neurosurgeon for stereotyping the experience of african americans carson who is black and grew up poor in detroit in the s said of obama in a podcast posted on politico s website he was you know raised white he added i mean like most americans i was proud that we broke the color barrier when he was elected but he didn t grow up like i grew up many of his formative years were spent in indonesia so for him to you know claim that you know he identifies with the experience of black americans i think is a bit of a stretch several twitter users expressed anger over the remarks keith simmons said you cannot distill the black experience into something so narrow being poor or rich does not grant authenticity warren holstein said ben carson says obama was raised white and doesn t understand black americans that fails to explain why no one understands ben carson shaun king civil rights activist and new york daily news writer said please step away from all microphones forever saying obama grew up white is foolishness the comments also prompted some to contemplate obama s upbringing brahma chellaney said i ve often wondered why obama is regarded as black not mixed race despite a white mother and a white upbringing carson did not back away from his comments in an interview with cnn on tuesday afternoon anybody who is sensible knows that the way that he was brought up is very different from the way most black people in this country are brought up he said adding i don t think anyone would deny that someone who was raised in hawaii by his white grandparents and then spent formative years in indonesia with his white mother does not have the typical black experience for more on the presidential race see the reuters blog tales from the trail here reporting by anjali athavaley editing by chris reese this article was funded in part by sap it was independently created by the reuters editorial staff sap had no editorial involvement in its creation or production,0,1,0.99415565
comey s old boss giuliani knew about the fbi letter days before its release here s proof video something is definitely incredibly suspicious with recently looked at video of former new york city mayor rudy giuliani knowing about something coming out against hillary clinton exactly two days before it happened giuliani seemed pretty damn sure of himself while appearing on fox news on october that there was going to be something released giuliani said with a grin a mile wide i think he s got a surprise or two that you re gonna hear about in the next few days then only two days later fbi director james comey came out with his letter to congress declaring his vague information regarding emails and hillary clinton keep in mind one very important fact giuliani is comey s old boss and it sure as hell seems like the former nyc mayor was given some information before anyone else not only would this definitely prove the hatch act was violated giuliani would be part of the violation according to cnn congress passed the hatch act in response to concerns that federal employees had been used to support candidates during the congressional elections its general intent is to greatly restrict the ability of most federal employees to engage in political campaign activities such as soliciting campaign donations or actively working on behalf of individual candidates especially while on the job or to otherwise use their official authority or influence for the purpose of interfering with or affecting the result of an election giuliani is one of republican presidential candidate donald trump s top surrogates on the campaign trail and he seemed to know about something that would directly be harmful to trump s opponent days before it was released he clearly knew something what did he know and how did he get that information is this proof comey violated the hatch act watch don lemon and michael moore discuss how giuliani seemed to know about the letter before anyone else as well as the former mayor admit to knowing something here it is watch this tell me giuliani didn t know did u know rudy used to be fbi director comey s boss michael moore november featured image via video screen capture,0,1,0.99250907
u s lawmakers say trump administration still lacks clear north korea plan washington reuters u s lawmakers said high profile briefings by the trump administration on north korea on wednesday failed to provide the firm strategy they had hoped for dealing with what they described as a major national security threat as a standoff escalated over the reclusive asian nation s development of nuclear weapons and long range ballistic missiles president donald trump welcomed all members of the senate to a highly unusual meeting at the white house complex with secretary of state rex tillerson secretary of defense jim mattis director of national intelligence dan coats and marine general joseph dunford chairman of the joint chiefs of staff while administration officials often travel to the capitol to brief lawmakers on national security issues this time the entire senate hopped on buses to the white house vice president mike pence and the four officials later briefed the house of representatives that classified meeting took place in a secure auditorium at the capitol complex the briefings came as trump tries to put the best face on his first days in office he has signed executive orders to roll back democratic policies but the period has been defined by an absence of any major legislative achievements a few democrats dismissed the senate white house field trip as little more than a photo opportunity some republicans were a little more enthusiastic it was an ok briefing senator bob corker the republican chairman of the senate foreign relations committee told reporters as he arrived back at the senate i m not certain i would have had the briefing today he said asked if the administration had a firm strategy senator john mccain who chairs the armed services committee said they re developing one this week trump has discussed north korea with u n ambassadors increased the u s military presence in the region and leaned on china to pressure pyongyang tillerson will chair a u n security council meeting on friday to discuss tougher sanctions after their briefing members of the house expressed confidence in the administration officials who spoke but some said they had real concerns representative brad sherman a senior member of the house foreign affairs committee said he was not convinced that the administration would do enough to control pyongyang i regard that level of resolve as very modest weak and maybe even phony the only way to put enough pressure on north korea is to get china to do it sherman told reporters mac thornberry chairman of the house armed services committee said the administration wants to use a variety of tactics to push north korea to give up its nuclear ambitions and said he agreed that all options must be on the table we have to have incredible military presence in the region including missile defense especially for this regime he said,0,1,0.99195826
release the podesta emails part a reply to iamtat i like knowing that the powers of good are working quite effectively in the background this election has opened up so much in the way of conspiracies that the average person paying even the slightest bit of attention have been exposed to how it actually works i think we will continue to see this corrupt beast system brought into the light regardless of the election the elite have lost control i really hope you re right my eyes have been really opened to the corruption and the control this election is about consolidation of a long construction of establishment outside interest corruption spanning decades and both parties it needs to be brought down before the cement hardens,0,1,0.99124265
firefighters reveal bombs destroyed wtc lobby by anonews condemnation without investigation is the height of ignorance albert einstein newly obtained video that was reluctantly released by nist after a lawsuit by the international center for studies shows two firefighters on discussing how secondary explosions occurred immediately before the collapse of the twin towers providing damning new evidence that explosive devices were used to bring down the buildings firemen discuss how bombs were going off in the lobby of wtc as they were staging to move up the building they explain how the building had already been hit by the plane and fires were already burning after two explosions in the lobby a third went off and the whole lobby collapsed listen to firefighters tell how bombs were going off in the lobby of world trade center even though it s an old video it s useful to share given the fact that people are still waking up to the possibility that the official story presented to the public was false,0,1,0.98977494
the gun shop owner that banned muslims is now selling obama bernie and hillary targets image one of florida s most infamous gun shop owners is yet again making headlines this time for selling targets that have the faces of president barack obama and democratic presidential candidates bernie sanders and hillary clinton on them last year florida gun supply owner andy hallinan raised eyebrows by banning muslims from his store when he made this announcement via a youtube video i have a moral and legal responsibility to ensure the safety of all patriots in my community and so effective immediately i m declaring florida gun supply as a muslim free zone i will not arm and train those who wish to do harm to my fellow patriots this of course got the attention of the racist murderer of year old trayvon martin george zimmerman naturally the two gun nuts joined forces to sell confederate flag paintings through hallinan s store so that zimmerman could pay his living expenses apparently racism and hate speech works because zimmerman was able to make on a painting so horrible a first grader could have done better now hallinan s latest stunt is an idea all of his own on his website bernietargets com he is selling the targets with the three democrats faces on them for marked down from bernietargets com hallinan has several other classy products for sale on the site such as a muslim free zone vehicle sticker an isis hunting permit a mohammed target a muslim free yard sign liberal tears gun oil and a hillary for prison yard sign if this guy is a fan of presumptive republican nominee donald trump that wouldn t be a surprise at all hallinan clearly agrees with trump s anti muslim rhetoric and is probably right on board with the donald s horrific proposal to ban all muslims from coming into the country which is pretty much what hallinan tried to do on a smaller scale with his store last year this type of xenophobia and blatant hate toward those with different religious and political views is so dangerous having targets with the faces of president barack obama who trump has repeatedly implied is muslim and this year s democratic candidates is truly blurring the line between parody and inciting violence featured image is a screenshot,0,1,0.9885998
ex red sox pitcher mulls run against senator warren in massachusetts boston reuters former boston red sox pitcher failed video game entrepreneur and conservative political commentator curt schilling said on tuesday he is considering running against democratic u s senator elizabeth warren of massachusetts in i ve made my decision i m going to run schilling said during an interview on wpro am radio in providence rhode island about miles from boston he added that the decision would be contingent on his wife s approval ultimately it s going to come down to how her and i feel this would affect our marriage and our kids schilling also fielded phone calls from listeners about a million loan the state of rhode island made in to his video game company studios which went bankrupt in i m sorry it ended the way it did schilling said adding that if he had been governor of rhode island he would not have offered financing to that company schilling is still warmly remembered by red sox fans for undergoing a medical procedure that allowed him to pitch with an injured ankle and blood stained sock during the american league championship series and world series in helping the team win its first world series championship since despite being associated with a team from a politically liberal state schilling has long backed conservative politicians most recently republican presidential contender donald trump,0,1,0.98762906
voice shaking michelle obama calls trump comments on women intolerable the new york times manchester n h michelle obama issued a deeply personal denunciation of donald j trump on thursday for his lewd comments about women exhorting voters in scathing terms to reject his candidacy and the campaign s increasingly vulgar tenor by backing hillary clinton as a matter of conscience this is not normal this is not politics as usual mrs obama said in a speech here during which her voice at times quavered with emotion this is disgraceful it is intolerable and it doesn t matter what party you belong to she added no woman deserves to be treated this way none of us deserves this kind of abuse in remarks that were among the most outspoken by a first lady in modern history mrs obama who has mostly avoided the political limelight positioned herself at the center of a campaign she characterized as having devolved into madness she implored voters to stand up and say enough is enough i can t believe that i m saying that a candidate for president of the united states has bragged about sexually assaulting women the first lady told several hundred voters at a university here i can t stop thinking about this it has shaken me to my core mrs obama said reacting to the emergence last week of a recording in which mr trump was heard coarsely boasting about kissing and groping women without their consent what followed from the first lady who has styled herself america s mom in chief was a message about empowering women to rise up against sexual abuse and harassment in every context the speech was all the more striking because it was delivered on behalf of mrs clinton whose experience with her husband s infidelity all but disqualifies her from speaking in similarly vivid terms aides said mrs obama had always planned to reshape her stump speech as election day neared to focus more on women and the significance of electing the first female president but when mr trump s remarks surfaced on friday she ripped up that speech ultimately settling on one that was all the more biting for its intimate tone i feel it so personally mrs obama said on thursday placing her hand against her heart for emphasis as she spoke about mr trump s treatment of women it s like that sick sinking feeling you get when you re walking down the street minding your own business and some guy yells out vulgar words about your body or when you see that guy at work that stands just a little too close stares a little too long so you feel uncomfortable in your own skin i can tell you that the men in my life do not talk about women this way mrs obama added to dismiss this as everyday locker room talk is an insult to decent men everywhere the speech was a riveting moment in an already remarkable campaign coming just before mr trump appeared in west palm beach fla to angrily denounce as false smears news reports in which several women said he had made unwanted advances on them the new hampshire rally was mrs obama s sixth campaign appearance for mrs clinton in a month and the first lady broke from her usual approach and did not speak about mrs clinton s qualifications for the presidency until halfway through her speech she said the former secretary of state embodies so many of the values that we try hard to teach our young people and ticked off highlights from mrs clinton s r sum saying that any parent would be proud to raise a daughter like her but she also sought to appeal to those unenthusiastic about mrs clinton or politics itself issuing a call to voters across the political spectrum who have been alienated by a contest dominated by outrageous statements and partisan rage we simply cannot endure this or expose our children to this any longer not for another minute and let alone for four years mrs obama said this has got to stop right now she argued that even voters repulsed by the tone of the campaign we are drowning in it she said at one point must consider the norms of behavior they wanted to instill in their children in our hearts we all know that if we let hillary s opponent win this election then we are sending a clear message to our kids that everything they re seeing and hearing is perfectly o k we are validating it we are endorsing it mrs obama said we re telling our sons that it s o k to humiliate women we re telling our daughters that this is how they deserve to be treated we re telling all our kids that bigotry and bullying are perfectly acceptable in the leader of their country instead she framed the decision to vote for mrs clinton as akin to a woman s choice to speak out in the face of sexual mistreatment or violence we need to recover from our shock and depression and do what women have always done in this country mrs obama said we need you to roll up your sleeves we need to get to work,0,1,0.98699594
trump revives keystone pipeline rejected by obama the new york times washington president trump sharply changed the federal government s approach to the environment on tuesday as he cleared the way for two major oil pipelines that had been blocked and set in motion a plan to curb regulations that slow other building projects in his latest moves to dismantle the legacy of his predecessor mr trump resurrected the keystone xl pipeline that had stirred years of debate and expedited another pipeline in the dakotas that had become a major flash point for native americans he also signed a directive ordering an end to protracted environmental reviews i am to a large extent an environmentalist i believe in it mr trump said during a meeting with auto industry executives but it s out of control and we re going to make it a very short process and we re going to either give you your permits or we re not going to give you your permits but you re going to know very quickly and generally speaking we re going to be giving you your permits the decisions expanded an effort to unravel much of the policy structure left by former president barack obama who made fighting climate change a central priority just a day earlier mr trump formally abandoned the partnership an ambitious trade pact negotiated by mr obama in his opening days in office mr trump has also modified or reversed mr obama s policies on health care abortion and housing while ordering a freeze of any pending regulations left behind by the former administration the pipelines were more about symbol than substance but generated enormous passion on both sides of the debate mr obama rejected the proposed keystone pipeline in arguing that it would undercut american leadership in curbing the reliance on carbon energy the army sidetracked the dakota access pipeline in north dakota last month in the waning days of the obama administration environmental activists quickly denounced mr trump s decisions donald trump has been in office for four days and he s already proving to be the dangerous threat to our climate we feared he would be said michael brune the executive director of the sierra club mr trump made clear on the campaign trail that he saw mr obama s environmental policies as a threat to the economy and dismissed climate change as a hoax perpetrated by china myron ebell a climate change denier who headed mr trump s environmental protection agency transition team has drafted a blueprint for how he could eliminate mr obama s climate change policies it is designed to implement all of the president s campaign trail promises every single one mr ebell said this week in an interview mr trump s biggest target may be emission rules that would force the closing of hundreds of power plants meant to be replaced by wind and solar power but they are caught up in court battles that could run for months or years by contrast he could more quickly soften mr obama s rules requiring tougher vehicle emission standards mr trump met on tuesday with executives of major american automakers who complained that before leaving office mr obama finalized an ambitious e p a rule requiring that vehicles average miles per gallon by mr trump said he would help with burdensome regulations but offered no specifics mr trump could lift a moratorium instituted last year by mr obama on new coal mining leases on public lands as soon as next month the congress may pass legislation undoing mr obama s regulations on the practice of coal mining and on leaks of methane emissions from oil and gas drilling rigs in the meantime the keystone and dakota pipelines provided mr trump with visible ways to demonstrate action as proposed by transcanada an alberta firm keystone would carry barrels a day from the canadian oil sands to the gulf coast republicans and some democrats said that it would create jobs and expand energy resources while environmentalists said it would encourage a form of oil extraction that produces more gases that warm the planet than normal petroleum studies showed that the pipeline would not have a momentous effect on jobs or the environment but both sides made it into a symbolic test case the state department estimated that keystone would support temporary jobs for two years about of them in construction and the rest through indirect support like food service but only permanent jobs similarly the government concluded that keystone s carbon emissions would equal less than percent of the total greenhouse gas emissions in the united states keystone has never been a significant issue from an environmental point of view in substance only in symbol said david l goldwyn an energy market analyst and a former head of the state department s energy bureau in the obama administration but it was a symbol mr trump found important enough to seize on early in his presidency he signed an executive memorandum inviting transcanada to promptly resubmit its application to the department of state for a presidential permit for the pipeline although the document did not guarantee approval the president told reporters he would renegotiate some of the terms including possibly an insistence that the pipeline be built with american steel but left little doubt that he wanted it approved we ll see if we can get that pipeline built he said a lot of jobs in a statement transcanada accepted his invitation to seek permission again we are currently preparing the application and intend to do so the company said vowing that it would create jobs and still protect waterways and other sensitive resources the dakota access pipeline in north dakota became the focus of protests when the standing rock sioux tribe objected to its construction less than a mile from its reservation the tribe and its allies won victory last month when the army corps of engineers announced that it would look for alternative routes for the billion pipeline instead of allowing it to be drilled under a dammed section of the missouri river mr trump signed an executive memorandum directing the army to review and approve in an expedited manner the pipeline to the extent permitted by law and as warranted in his session with reporters he added again subject to terms and conditions to be negotiated by us mr trump owned stock in energy transfer partners the company that is building the dakota access pipeline according to his most recent filing with the federal election commission last month a spokesman for mr trump said he sold all of his stock in june but there is no way of verifying that sale and mr trump has not provided documentation of it critics vowed to keep resisting the projects jan hasselman a lawyer for earthjustice an environmental law group representing the tribe said mr trump was discarding the findings of a review they re just ignoring the problems that the government has already found he said and that is the kind of thing that courts need to review very closely in canada the government of prime minister justin trudeau welcomed mr trump s decision we have been supportive of this since the day we were sworn into government jim carr the natural resources minister told reporters mr carr said the american reversal will lead to a deepening of the relationship across the border in addition to the keystone and dakota directives mr trump signed three others intended to ease the way for businesses and to promote american manufacturing one instructed the commerce department to develop a plan to ensure that future pipelines built in the united states be constructed of materials another was aimed at streamlining what he called the incredibly cumbersome long horrible permitting process and reducing regulatory burdens for domestic manufacturing the last directive was intended to expedite environmental reviews for infrastructure projects like highways and bridges some news reports on tuesday said that the e p a and other departments had issued orders forbidding employees from issuing news releases or posting on social media but longtime officials in multiple agencies said the guidance was similar to that of when mr obama took office eight years ago,0,1,0.9866573
progressive champion elizabeth warren will deliver keynote speech to democratic convention the democratic party is poised to have a convention filled with powerhouse speakers that will dwarf the lineup of has beens the gop deployed the republican national convention had unemployed actor scott baio and desperate republicans who actually decided to show up the democratic party will have new jersey senator cory booker vermont senator bernie sanders and they will have massachusetts senator elizabeth warren in a spot that could very well set her up as hillary clinton s successor elizabeth warren has successfully gotten under the thin skin of donald trump for months every time he attacks her on twitter she responds by destroying him in recognition of her efforts and her status as a defender of the poor and middle class in america against corporate exploitation warren has been chosen to deliver the keynote address at the dnc this week warren will be only the third woman to deliver the keynote speech the first being rep barbara jordan in followed by beloved former texas governor and women s rights crusader ann richards in and while neither of those two women would go on to run for president elizabeth warren stands on the cusp of history in the making hillary clinton looks to become the first female president in american history if she wins and serves with distinction it could pave the way for warren s rise as her successor in should she be willing to take on the mantle as you may recall a man named barack obama delivered the keynote address at the dnc convention in four years later he became the first african american president in the united states while the keynote address does not guarantee anyone of future presidential aspirations it does mean a great deal to those who care about what the message of the party is warren is decidedly on the progressive wing of the democratic party so she will more than likely focus on progressive issues such as raising the minimum wage better healthcare climate change and working with our allies abroad while promoting tolerance and diversity clinton may not have chosen warren as her running mate but giving the keynote is a high honor and it gives warren the opportunity to put progressive policies in the spotlight this is especially important as hillary continues to woo supporters of bernie sanders to her campaign this keynote selection screams that hillary clinton is inching more to the left as progressives have been hoping and it gives progressives a bigger place at the table than they have had in many years combined with the platform changes bernie sanders was able to insert this could signal a progressive agenda is on the way if sanders supporters are patient enough to let it happen gradually instead of all at once the shift to the left could also mean that a more progressive candidate than hillary clinton could very well succeed her that means progressivism has a bright future if they make sure a democrat is elected to succeed president obama in november because donald trump sure won t advance progressive policies featured image via chris somodevilla getty images,0,1,0.9864638
