text,true_label,predicted_label,prob_fake
thing that proves it s a dream must happen soon reckons everyone thing that proves it s a dream must happen soon reckons everyone people are hoping for a clear sign that they are in a dream such as being able to fly or copping off with a celebrity they have revealed the us election result has convinced many britons they are dreaming but something even more bizarre and implausible will happen soon and make them wake up office worker tom logan said trump s the president apparently so i expect some proper dream weirdness will happen soon like being chased through asda by a cyberman it s an odd dream though because i m at work and it s all very detailed almost like real life still at least i m not naked or i ve got some stressful task to do that s really illogical i m sure any minute now i ll be able to laugh at this whole trump business when holly willoughby turns up and takes me for a sexy ride in her helicopter accountant donna sheridan said this is a long dream but nothing totally incongruous has happened yet like taking my childhood dog to get his nails clipped by coldplay s chris martin trump can t have won the election though because that s insane frankly i ll feel better if it turns into a proper nightmare where i m being made to re sit my a levels by a witch he hasn t won has he maybe i should wait a bit before going for a fly out of the window share,0,1,0.88
trump revives keystone pipeline rejected by obama the new york times washington president trump sharply changed the federal government s approach to the environment on tuesday as he cleared the way for two major oil pipelines that had been blocked and set in motion a plan to curb regulations that slow other building projects in his latest moves to dismantle the legacy of his predecessor mr trump resurrected the keystone xl pipeline that had stirred years of debate and expedited another pipeline in the dakotas that had become a major flash point for native americans he also signed a directive ordering an end to protracted environmental reviews i am to a large extent an environmentalist i believe in it mr trump said during a meeting with auto industry executives but it s out of control and we re going to make it a very short process and we re going to either give you your permits or we re not going to give you your permits but you re going to know very quickly and generally speaking we re going to be giving you your permits the decisions expanded an effort to unravel much of the policy structure left by former president barack obama who made fighting climate change a central priority just a day earlier mr trump formally abandoned the partnership an ambitious trade pact negotiated by mr obama in his opening days in office mr trump has also modified or reversed mr obama s policies on health care abortion and housing while ordering a freeze of any pending regulations left behind by the former administration the pipelines were more about symbol than substance but generated enormous passion on both sides of the debate mr obama rejected the proposed keystone pipeline in arguing that it would undercut american leadership in curbing the reliance on carbon energy the army sidetracked the dakota access pipeline in north dakota last month in the waning days of the obama administration environmental activists quickly denounced mr trump s decisions donald trump has been in office for four days and he s already proving to be the dangerous threat to our climate we feared he would be said michael brune the executive director of the sierra club mr trump made clear on the campaign trail that he saw mr obama s environmental policies as a threat to the economy and dismissed climate change as a hoax perpetrated by china myron ebell a climate change denier who headed mr trump s environmental protection agency transition team has drafted a blueprint for how he could eliminate mr obama s climate change policies it is designed to implement all of the president s campaign trail promises every single one mr ebell said this week in an interview mr trump s biggest target may be emission rules that would force the closing of hundreds of power plants meant to be replaced by wind and solar power but they are caught up in court battles that could run for months or years by contrast he could more quickly soften mr obama s rules requiring tougher vehicle emission standards mr trump met on tuesday with executives of major american automakers who complained that before leaving office mr obama finalized an ambitious e p a rule requiring that vehicles average miles per gallon by mr trump said he would help with burdensome regulations but offered no specifics mr trump could lift a moratorium instituted last year by mr obama on new coal mining leases on public lands as soon as next month the congress may pass legislation undoing mr obama s regulations on the practice of coal mining and on leaks of methane emissions from oil and gas drilling rigs in the meantime the keystone and dakota pipelines provided mr trump with visible ways to demonstrate action as proposed by transcanada an alberta firm keystone would carry barrels a day from the canadian oil sands to the gulf coast republicans and some democrats said that it would create jobs and expand energy resources while environmentalists said it would encourage a form of oil extraction that produces more gases that warm the planet than normal petroleum studies showed that the pipeline would not have a momentous effect on jobs or the environment but both sides made it into a symbolic test case the state department estimated that keystone would support temporary jobs for two years about of them in construction and the rest through indirect support like food service but only permanent jobs similarly the government concluded that keystone s carbon emissions would equal less than percent of the total greenhouse gas emissions in the united states keystone has never been a significant issue from an environmental point of view in substance only in symbol said david l goldwyn an energy market analyst and a former head of the state department s energy bureau in the obama administration but it was a symbol mr trump found important enough to seize on early in his presidency he signed an executive memorandum inviting transcanada to promptly resubmit its application to the department of state for a presidential permit for the pipeline although the document did not guarantee approval the president told reporters he would renegotiate some of the terms including possibly an insistence that the pipeline be built with american steel but left little doubt that he wanted it approved we ll see if we can get that pipeline built he said a lot of jobs in a statement transcanada accepted his invitation to seek permission again we are currently preparing the application and intend to do so the company said vowing that it would create jobs and still protect waterways and other sensitive resources the dakota access pipeline in north dakota became the focus of protests when the standing rock sioux tribe objected to its construction less than a mile from its reservation the tribe and its allies won victory last month when the army corps of engineers announced that it would look for alternative routes for the billion pipeline instead of allowing it to be drilled under a dammed section of the missouri river mr trump signed an executive memorandum directing the army to review and approve in an expedited manner the pipeline to the extent permitted by law and as warranted in his session with reporters he added again subject to terms and conditions to be negotiated by us mr trump owned stock in energy transfer partners the company that is building the dakota access pipeline according to his most recent filing with the federal election commission last month a spokesman for mr trump said he sold all of his stock in june but there is no way of verifying that sale and mr trump has not provided documentation of it critics vowed to keep resisting the projects jan hasselman a lawyer for earthjustice an environmental law group representing the tribe said mr trump was discarding the findings of a review they re just ignoring the problems that the government has already found he said and that is the kind of thing that courts need to review very closely in canada the government of prime minister justin trudeau welcomed mr trump s decision we have been supportive of this since the day we were sworn into government jim carr the natural resources minister told reporters mr carr said the american reversal will lead to a deepening of the relationship across the border in addition to the keystone and dakota directives mr trump signed three others intended to ease the way for businesses and to promote american manufacturing one instructed the commerce department to develop a plan to ensure that future pipelines built in the united states be constructed of materials another was aimed at streamlining what he called the incredibly cumbersome long horrible permitting process and reducing regulatory burdens for domestic manufacturing the last directive was intended to expedite environmental reviews for infrastructure projects like highways and bridges some news reports on tuesday said that the e p a and other departments had issued orders forbidding employees from issuing news releases or posting on social media but longtime officials in multiple agencies said the guidance was similar to that of when mr obama took office eight years ago,0,1,0.87
sen grassley gorsuch confirmation ends schumer s year era of filibustering judges the chairman of the senate judiciary committee told reporters he was proud to have shepherded the nomination of judge neil gorsuch through to his senate confirmation friday which ended the era of filibustering supreme court nominations that sen charles schumer began years ago there are a significant events that brought us to this point of adding a new member to the supreme court but i think we just witnessed one of the most important votes that a member of the united states senate can cast judge gorsuch will be an independent voice on that supreme court he proved that very much during the hearings said sen charles grassley the senate approved president donald trump s gorsuch nomination with vice president mike pence presiding not so much because he was concerned there would be a tie but because he and the other senators seem to enjoy his presence in the chamber the real fight was not the vote on the nomination but whether to end debate and hold the vote at all until thursday senate rules required a threshold to end debate and proceed to a nomination of a supreme court justice that rule was challenged by the republican majority and dismissed by the republican majority grassley said the dismissal of the requirement returns the senate to where it was before democrats began the practice of blocking appointments with the filibuster the practice of keeping debate open by holding on to a bloc of at least votes senate democrats used the filibuster and the threat of a filibuster to jam up the judicial appointments of president george w bush beginning in and senate republicans followed suit for the appointments by president barack obama in july majority leader harry reid challenged the use of the filibuster for any and all presidential appointments except for supreme court justices those democrats in poisoned the well that got us where we are grassley said it is up to sen schumer who started this whole slippery slope in to drill a new well that is not going to be poisoned there will be both republicans and democrats to help him he said bottom line it brings us back to where the senate was from to when there wasn t consideration of filibustering judges,0,1,0.865
vicente fox brilliantly trolls trump s disastrous week it s glorious former mexican president vicente fox has never been a fan of donald trump during the presidential campaign he routinely went after trump s disparaging remarks about mexican immigrants and infamously said that mexico would not pay for that f king wall now president fox is using trump s own favorite platform twitter to troll him over the absolute incompetence coming out of the white house and indeed from trump himself fox like anyone who has paid attention to donald trump during the campaign and since his ascent to the white house knows that this presidential run wasn t about running the nation it was about donald trump s insatiable ego his insecurity and his constant quest for more money and power that has been a lifelong pattern running for president was the only thing left president fox don t go all weepy on me you ve got what you wanted you re the center of attention but not the kind you wanted right vicente fox quesada may indeed it seems that trump thought that if he got to be president he wouldn t have to well govern he likely thought he d be busy putting gold toilets in the white house taunting democrats and telling big crowds of supporters how great he is largely that is what trump is doing after all he held a victory tour of rallies and held a dueling event the night of the white house correspondents dinner so that he could mock the so called washington elite and of course we all see his twitter feed which is full of mockery and ridicule however during all of this we see a white house riddled with scandal after scandal of trump s own making the russia investigation is heating up and no matter how many times trump and his supporters say it is fake news it isn t going away even members of trump s own republican party are floating the idea of impeachment president fox is right trump is getting attention but definitely not the kind he wanted featured image via mark wilson getty images,0,1,0.865
long road ahead to a new life for wounded north korean defector seoul reuters the north korean soldier critically wounded when making a dash to the south last month may have cheated death but even as his health improves he is months if not years away from finding a normal life in south korea officials and other defectors say the transition to life in the democratic and prosperous south can be difficult for any defector from the isolated and impoverished north let alone for a soldier from an elite border unit with potentially actionable military intelligence and a high profile that may complicate efforts to blend in the year old soldier identified only by his surname oh has been released from intensive care after being shot five times during his daring defection but is still battling a hepatitis b infection which could delay his transfer to a military hospital for some time doctors said as active duty soldier defectors have up to date information the intelligence agencies would question the soldiers and see if anything needs to be addressed in our military s operation and combat plans a current south korean government official involved in resettling north korean refugees told reuters oh will likely be under the protection of south korea s spy agency the national intelligence service nis and then be offered work such as code cracking in the military or related agencies a former senior south korean government official said the decision would be made after a comprehensive assessment on what he means to national security the level of information he has and whether he would be capable of mingling with other defectors at the resettlement center the former official said defections by active duty soldiers are extremely rare once a year or less intelligence agencies are keen to question oh who was stationed in the joint security area near the heavily fortified border according to south korean lawmakers briefed by the nis doctors have asked that officials wait until oh is fully recovered both physically and emotionally before they begin questioning given his high profile escape and status as a member from an elite border unit oh will likely be given more personalized assistance away from other north korean defectors at the hanawon resettlement center the former south korean official said most defectors undergo security questioning by the national intelligence service for a few days up to several months in extreme cases before being moved to the hanawon resettlement center there they receive mandatory three month education on life in the capitalist south from taking public transportation to opening a bank account to creating an email address it s where you would get to see the outside world for the first time as they take you out to meet people on the streets and learn how to access the social service network these days you can also do a homestay with an ordinary south korean family said ji seong ho a year old defector who heads now action and unity for human rights nauh a group that rescues and resettles north korean refugees such training can be more useful for some people than others said kim jin soo a year old former member of the north korean secret police who defected to the south in looking back it would ve been really useful if they taught more realistic things even though it might discourage people like how to prepare for a job fair and find a suitable workplace and why it s important to lose the north korean accent he said fresh off hanawon you re like a one year old baby but those are the things that would pose a real obstacle when you actually go out there on your own said kim who now works at a advertising firm in seoul after leaving hanawon central and local governments provide defectors million won in cash over a year barely a fifth of south korea s annual average income as well as support in housing education and job training police officers are assigned to each of the defectors to ensure their security oh may have potential value to the south korean government or organizations that try to highlight conditions in north korea but it will be up to him whether he wants to live a life in the limelight said sokeel park country director for liberty in north korea which helps north korean refugees if he has any mind to get involved in that kind of stuff then there will be all kinds of media or non governmental organizations who would fall over themselves to give him that platform said park but if he makes a good recovery and he chooses to blend it then he s just another young guy with a vague back story graphic defector braves hail of bullets reut rs zaudrn,0,1,0.855
candidates struggle with iraq political quagmire washington cnn if you re running for president get used to becoming hung up over iraq because barring a miracle whoever wins the white house will become the fifth consecutive american president ensnared by a nation that has consumed trillions of u s dollars and thousands of american lives it has also blighted a string of high flying political careers if the last week on the campaign trail has proved anything it s that american politics is still nowhere near purged of the bitter political divides of a war undertaken turbulent years ago somewhat like the vietnam war that reverberated through successive presidencies leading republican candidates have suddenly been tripped up by the most basic question was president george w bush right to invade iraq way back in and no doubt democratic frontrunner hillary clinton will yet again have to answer for the vote she cast in favor of the war while in the senate the american entanglement with iraq started under president george h w bush when iraqi leader saddam hussein marched into kuwait in evolved into a standoff and occasional air strikes under president bill clinton and erupted into a full scale invasion under george w bush and now under president barack obama a quarter of a century later america s misadventure in the fractured middle eastern nation has transformed into a slog against the bloodthirsty sunni radicals of isis with no end in sight senior administration officials have already admitted that the fight against isis will go beyond the current presidency in the process hinting at one of the great disappointments of the obama era in months the president who was elected perhaps more than anything else to end the iraq war will bequeath to his successor a new phase of that same intractable conflict despite declaring the war over and bringing home the last u s soldier in december obama has been sucked back in just this weekend an isis surge into the key iraqi city of ramadi and a u s special operations raid into syria to kill one of the group s top leaders have shown that american involvement has not ended and that the engagement is proceeding without any clear sign of victory iraq s enduring power to confound american presidents and to reverberate in successive presidential campaigns is a reminder that when america goes to war abroad anything but a swift clear cut victory unleashes an unpredictable cascade of political consequences at home failed wars always hurt the president fighting them but also continue to impact the party of the presidency for decades after they are gone said julian zelizer a professor of history at princeton university iraq has become a political issue akin to vietnam as politicians seize on the aftermath of an inconclusive war to eviscerate their rivals handling of foreign policy democrats make a case that the invasion invalidated an entire school of republican political thought neoconservatism and say the war proves the gop cannot be trusted with u s national security republicans meanwhile insist the war was all but won in by bush s belated troop surge and blame obama for being more concerned with honoring a political promise to end the war than the reality of the deeply unstable nation he left behind still mark atwood lawrence professor of history at the university of texas at austin argues that political fallout from the iraq war could prove to be less radioactive than that of vietnam which took decades to play itself out one reason for that is the bipartisan consensus now forming that the war was a mistake given that hussein s weapons of mass destruction used as a justification for war did not exist it s perhaps a surprise that politicians took so long to catch up to this predominant view given that citizens made up their minds long ago in a new york times cbs news poll last year of those asked said the iraq war was not worth the loss of american lives the findings are consistent with other opinion surveys the gop reluctance to criticize the decision to go to war stems in part from the candidates desire not to alienate conservative primary voters thirsting for tough talking foreign policy and calling the war a mistake raises the treacherous question of whether the deaths of more than u s troops were a waste but it still perplexed many political insiders that it took former florida gov jeb bush a week of painfully groping for answers to come up with a satisfactory and some believed obvious response that had he known then that u s intelligence on iraq s weapons of mass destruction was flawed he would not have gone to war in jeb bush was at least trapped between his own political fortunes and loyalty to his brother but republican candidate marco rubio a florida senator had no such family ties to blame for his trouble putting to rest questions about his views on the topic rubio got into a heated dispute on fox news sunday after denying that he had flip flopped by now concluding that the iraq war was a mistake their apparent confusion has provided an opening for fellow republican rand paul a kentucky senator and presidential candidate to renew his argument for a foreign policy derided by critics as isolationist but in tune with the majority of voters who now view the iraq war as a mistake paul said at a gop dinner in iowa this past weekend that the notion that the iraq war should never have been fought is a valid question not just because we re talking about history but we are talking about the middle east where history repeats itself it isn t only republicans who are vulnerable on the issue hillary clinton needs no reminder of the capacity of iraq to crush political dreams after her senate vote to authorize the iraq war cost her primary support and paved obama s way to the presidency clinton conscious of the consequences of admitting her judgment on national security was flawed never said during her white house bid that her senate vote on iraq was a mistake but in last year s book hard choices in which she provided a blueprint for how supporters could defend her record she was much more clear i got it wrong plain and simple she wrote some u s foreign policy veterans are warning that the political debate in washington is hampering hopes of meeting the challenge to u s security posed by isis and finally closing america s book on iraq where once it was politically difficult to oppose the use of force in iraq now that position has become toxic now iraq poses a threat it didn t years ago said james rubin an assistant secretary of state under clinton referring to isis and its efforts to export its ideology and terror tactics to the west it s a shame that the politics the pendulum of our political system has swung so far to the other direction that our president and others are not prepared to take some modest steps to defeat a genuine threat not the fake threat that was exaggerated years ago rubin told cnn,0,1,0.825
interview andy worthington on final push to close guantanamo president barack obama has less than days to achieve one of the key goals that will define his legacy close the guantanamo bay military prison there are prisoners at guantanamo twenty of them were cleared by the obama administration and could be freed of course the specter of a donald trump presidency has those who pushed for the closure of guantanamo frightened because trump said he would bring new prisoners to the facility what if obama had closed the facility years ago would this even be a possibility joining me on the unauthorized disclosure podcast journalist andy worthington talks to me about the final push to close guantanamo he is the co founder of the close guantanamo campaign he also is a musician who wrote a song for his band four fathers about closing the military prison his work can be found here the interview starts at the mark later in the interview we go on a bit of a tangent and spend a few minutes addressing the rise of far right elements in the united states and the united kingdom particularly because worthington is based in the u k below is a partial transcript of the interview gosztola what do you plan to do during final days of president obama s presidency to push for the closure of guantanamo especially now that donald trump is president and open to torture and possibly even bringing more prisoners to guantanamo worthington i ve been working on the guantanamo issue for over ten years and it s always been my intention to try and get it closed so back in january when it was the tenth anniversary of the opening of the prison i setup a campaign and website called close guantanamo with the attorney tom wilner who represented the guantanamo prisoners in their supreme court cases in and what we did this year is we setup a countdown to close guantanamo so we counted down the last year of the presidency and every days we have these posters that they could print off that they could stand with they could send in to us and we put them on to the website and on social media we ve had over celebrities and people across the u s and around the world sending in photos every days of course we re now into the very last ten weeks of obama s presidency so what i am trying to do is just to keep the pressure on as we ve been doing all year just to try and keep president obama aware that people are watching obviously he doesn t need any telling after the election result it s more urgent than ever if he really does want to close the prison he needs to do everything that he can in his power to do it before he leaves office because as you say donald trump has said on the campaign trail that he wants to keep it open he wants to send americans there to be prosecuted he wants to reintroduce torture now we also know that donald trump to be generous is a colossal windbag and that it s not necessarily true that the things he says he means but he is now the president the republican party that he nominally is the president of is in control of the senate and the house and there are some very unpleasant characters in the republican party who love guantanamo and who would love to reinstitute torture i think it s fair enough at this point for people to be genuinely worried that any progress that has been made toward the closure of guantanamo is going to hit a very sticky patch with the inauguration of donald trump gosztola i get the real sense that we shouldn t take any chances here that perhaps the human rights community could get to donald trump and convince him that guantanamo needs to be closed we already see figures surrounding him like rudy giuliani and also a quite goonish character tom cotton who is a senator and former veteran who has incredible bloodlust worthington he s a dreadful individual it s so out of control that kind of massive enthusiasm for guantanamo and the hysteria and the exaggeration about the people who were held there any rational analysis of guantanamo has always has always accepted there are a handful of significant people there but the majority of people there never were it s awful the things he s been saying but you know i m really worried about the kind of people we re hearing that are gathering around donald trump i thought we d seen the last of rudy giuliani and people like that i m hearing people mention john bolton surely not surely we re not going to put up with him again but who knows gosztola the neoconservatives as they call them ran away from donald trump but it seems they may be coming back as it s their only way to have access to power so let s talk about the critical issue of the human beings who still remain captive at guantanamo i know you ve done some recent work on abu zubaydah just so people can have a case within our interview to think about and to think about the critical importance of closing guantanamo and what s at stake talk about how he was denied release and what we know about how he was treated worthington i suppose i should really start out by breaking down who is at guantanamo these men twenty of them have been approved for release by two review boards one back in there are still a handful of men approved for release then who haven t actually been freed the rest of them were approved by a review board that s been taking place over the last few years the periodic review board which is like a parole board people have to demonstrate they show contrition for what they did and they want to have constructive peaceful lives if they re released that process has been involving at guantanamo who isn t already approved for release or facing trial and just ten men are facing trials so at present of those people held there are men who have had these reviews that have said on balance we ve reviewed their cases and we re still going to carry on holding them but we re not putting them on trial abu zubaydah is one of those people he was the person that the bush administration s cia torture program was created for he was the first victim of that he was someone who was outrageously hyped up by the bush administration as somebody close to osama bin laden involved in attacks number three in al qaida was what they were saying at the beginning even though there were people in the intelligence community who knew from the beginning that this simply was true about him but they tortured him abominably waterboarded him on occasions destroyed him in some ways he has fits is in a pretty terrible way all of this was for somebody that was who they said he was the u s government eventually backed down and said they didn t think he knew about the attacks he wasn t a member of al qaida they re still trying to suggest that he was part of some kind of militia that would enable to say he was an enemy of the united states the thing about zubaydah is obviously as with everybody held the terrible things that happened should not have happened skilled interrogators would have been able to sit down with these guys without laying a finger on them and get information from them then we would have been able to have trials that would have been acceptable but this is a kind of revisionism of history that didn t happen terrible things happened instead this man was a facilitators for an independent training camp that had some involvement in militarily training and some people that were trained there it seems went away and became involved in plots so it s not that there isn t a case against him on some level but whether he actually constituted an enemy of the united states i couldn t really say but there he is in guantanamo and like all these to moral or other degrees were mistreated and who may or may not have done things in some way against the united states he s had this review process and they ve said well no we re not going to approve him for release he s now eligible for further reviews as are all the other men who had their ongoing imprisonment upheld now these reviews were initiated several years ago by an executive order that president obama they involve the defense department the intelligence agencies all the major government departments so it s an ongoing process unless of course a new government decided they were not interested in them and we don t know where president to be donald trump stands on the periodic review boards or where the people gathering around him stand on them but i think it would be fair to say there will be a certain amount of hostility toward them what i don t know is how much within these departments of the kind of unchanging people who do the work regardless of who the government is how much there will be feedback within these various departments and agencies about what they think is the usefulness or not of reviewing people i think it s fair to say that we re fortunate those of us who want to see guantanamo closed that president obama has done so much in recent years to reduce the population gosztola there s been a lot of promising developments especially in the last year but at the last time you see a real failure because now with the election of donald trump the obama administration has left the door open for the military to keep using it as a facility right now as i understand it some of the camps are being transformed into mental health or hospital facilities still easily you could put the brakes on that donald trump could use that again for what we already have read about in your reporting and other books worthington i have to say although the worst case scenario could happen in anything we think of when we look at donald trump and these figures within the republican party who want power and influence there are very strong arguments i suspect will be made by career bureaucrats by lawyers and certainly of course by ngos i would not expect silence from the liberal media i would think there would be a lot of voices discussing very loudly how inappropriate it would be for example to send anyone new to guantanamo president obama to his credit he always treated it as a legacy issue he never sent anybody there every time that some terrorist suspect was apprehended pretty much wherever it was these republicans the kind of people now jockeying for power would have been saying send this person to guantanamo give him the works torture them all of this stuff and ridiculous and he never did this isn t just some kind of humanitarianism that can be easily dismissed the truth is if you apprehend a terrorism suspect and what to give them a trial then do it in federal courts because federal courts have a long and capable history of doing it what everybody needs to remember and what even the great cheerleaders for guantanamo actually know when you put them on the spot is that when guantanamo was setup there were still federal court trials taking place successfully for people accused of terrorism the same happened throughout the obama administration really when you step back and look at it and strip away the hysteria guantanamo is an aberration it s a broken place that doesn t work it would be very hard to make a case we re not thankfully in the middle of a national emergency like we were in the wake of there is no clear and present danger to the nation that would justify people saying i know what the rules are that normally reply but the thing that s happening to us is so awful that we must throw away all those ways of behaving and do this terrible thing there isn t actually any pressure for doing that that is justifiable i think that it would be difficult for them to justify it and there would be a lot of resistance institutionally but you know who am i to know if people take over with an aggression and craziness it s possible they can steamroll everything before them gosztola you also are a singer and you have a band i wanted to have you share the work you ve been doing it s called the four fathers you recorded a song particularly for the campaign to close guantanamo worthington i ve kind of revisited something i ve done before which is to sing about something of importance to me you actually made a protest song of the week awhile back the song i wrote for shaker aamer who was the last british resident in guantanamo who i was campaigning to release i came up with another song fairly recently earlier this year was when i came up with it about guantanamo that kind of fell into place that here s this sunny bouncy tune which i think is probably appropriate for what this corner of the caribbean should be and then i basically just sang about what s happened at guantanamo since the prison was setup i kind of distilled into verse what i ve always understood about it how the bush administration chose it to be beyond the law said they could torture and abuse people when they tortured and abused people they told lies they had the nerve to then present these lies that people told under torture and abuse as though they were the truth and then the last verse of the song which i ve used in the campaign video for the close guantanamo campaign is about president obama s struggles to close guantanamo and what seems to be his failure to be able to do so i hope people will like the song i think it tells the story well and in a good manner it would be lovely if you could play it to your listeners listen to close guantanamo the post interview andy worthington on final push to close guantanamo appeared first on shadowproof,0,1,0.82
trump dismisses buffett s rebuke over his business judgment washington reuters u s republican presidential candidate donald trump on tuesday brushed off billionaire investor warren buffett s blistering critique of his business acumen i don t care much about warren buffett trump said on the fox business television network tuesday morning a day after buffett lashed out at trump in a speech at a campaign rally for democratic candidate hillary clinton buffett a widely followed investor who is chairman and chief executive officer of berkshire hathaway inc scorned trump s move to list trump hotels and casino resorts on the new york stock exchange saying it lost money for the next decade and that a monkey would have outperformed trump s company he also challenged trump to release his tax returns something the real estate mogul and television star has declined to do so far citing an internal revenue service audit trump who has held up his career in business as a qualification to lead the country defended his record running his hotel and casino business in atlantic city new jersey i had great timing i got out after seven years he told fox business on tuesday i took a lot of money out of atlantic city which is what i m supposed to do i m a businessperson trump said he did well in the good times in atlantic city but then times started going very bad trump said he used to invest in u s stocks but got out because i don t like what i m seeing at all pointing to u s immigration policies syrian refugees and what he said were artificially low interest rates he also vowed to spend twice as much on u s infrastructure as clinton who has pledged billion on rebuilding the nation s crumbling roads and bridges among other structures trump who has been criticized by fellow republicans and others for responding too readily to opponents declined to target buffett personally for his comments there s no counter punch buffett on monday vowed to do whatever it takes to get out the vote in his congressional district in nebraska including driving voters himself to the polls to cast ballots with clinton by his side buffett told the crowd that his final straw was trump s critical response to the muslim parents of a decorated u s soldier killed by a bomb in iraq years ago buffett is no on forbes magazine s list of the richest billionaires with a net worth calculated at billion,0,1,0.82
spanish auditors demand catalan leaders pay for previous independence vote el pais madrid reuters a spanish audit office has demanded the former leader of catalonia and other politicians from the region pay million euros million for holding a consultative independence ballot in el pais newspaper said on tuesday the report which cited judicial sources came a day before catalonia is expected to approve plans to hold an oct referendum on a split from spain the vote was non binding a symbolic ballot by pro independence campaigners that was declared illegal by spain s constitutional court catalonia along with britain s scotland and belgium s flanders has one of the most active independence movements in the european union el pais said the former head of the catalan government artur mas and other regional leaders were being told by the audit body in charge of overseeing the financing of political parties and the public sector to pay out of their own pocket for organizing the consultation vote the money was due by sept it said the audit office was not immediately available for comment the current head of the catalan government carles puigdemont said the move was the spanish state spreading fear catalan lawmakers are due to vote on wednesday on laws approving the referendum and the legal framework to set up an independent state the laws are expected to be approved because pro independence parties have a majority in the regional parliament the populous north eastern region with its capital barcelona has a strong national identity with its own language and traditions although polls show support for self rule waning as spain s economy improves,0,1,0.805
donald trump sent his own plane to transport stranded marines after hearing about marines left stranded after returning home from operation desert storm back in donald j trump came to the aid of those marines by sending one of his planes to camp lejuene north carolina to transport them back home to their families in miami florida corporal ryan stickney was amongst the group that was stuck in north carolina and could not make their way back to their homes stickey told hannity com that he had spent nearly six months serving in operation desert storm between and and was eagerly awaiting his return home here is a picture from that day plane photo w watermark stickney spent the next few weeks after returning from saudi arabia in north carolina at camp lejuene to wind down stickney and the marines were set to return home until an error had been made in the logistics unit and a plane wouldnt be able to take the marines home on the date they were set to arrive trump managed to get word of the situation and decided to send a plane to help the stranded marines the way the story was told to us was that mr trump found out about it and sent the airline down to take care of us and thats all we knew i remember asking who is donald trump i truly didnt know anything about him stickney said stickeny says that he and his family is forever grateful for lending a hand his father a former eastern airlines captain and korean war veteran even offered trump a free ride as a way to say thank you for his kind services thanks to donald trump marines were able to see their families that day,0,1,0.795
