text,true_label,predicted_label,prob_fake
mongolia names biker enthusiast pm kick starting imf rescue package ulaanbaatar reuters mongolia s parliament confirmed the nomination of motorbike enthusiast ukhnaa khurelsukh as prime minister on wednesday putting the country back on track to receive funds from a billion imf economic rescue package khurelsukh of the ruling mongolian people s party mpp received unanimous approval from the lawmakers in attendance for his confirmation as mongolia s th prime minister he will face challenges in bringing back foreign investment to the mineral rich former soviet satellite and manage the country s heavy debt load the international monetary fund has approved an economic bailout program to help relieve debt pressures and buoy the currency the tugrik that includes austerity policies an imf visit to review the program that included the disbursement of million of the funds was delayed in september until a new government was formed the imf had said that once a new government was in place it would engage with the authorities on how best to move forward with the program khurelsukh succeeds jargaltulga erdenebat who was voted out of office in september amid allegations of corruption and incompetence the new prime minister holds the title of colonel although he only served in the military from to he projects a tough rule of law image said dale choi head of altan bumba financial group he s a very tough and strong guy himself i think the electorate likes it very much khurelsukh is seen as a leader to the party s so called youth faction and is also a noted motorcycle enthusiast he is president of the fan club for harley davidson in ulaanbaatar mongolia s democracy has been turbulent since its transition from a socialist state in and no premier has completed a four year term since government infighting and reshuffles have contributed to the delays of development projects the closest mongolia came to handing over the operations of state owned erdenes tavan tolgoi coking coal mine to a consortium of mongolian mining corp china shenhua energy and sumitomo corp was in before the parliament speaker stepped in to block the deal we would hope to see the new government advance the privatization of tavan tolgoi said thomas hugger ceo and a fund manager at asia frontier capital mongolia s coal miners are looking to ramp up production to meet growing demand from china but longstanding transportation issues continues to hold back sales mongolia s proximity to china means it could play a large role in coal supply to china said hugger if a key railway is built there s no reason mongolia shouldn t be the largest supplier of coking and thermal coal to china,1,0,0.00815996862259424
review the night of takes a cab ride to hell the new york times in the beginning there was the procedural dragnet law order and the like set the template for television crime stories that took viewers briskly though the process by which bad guys get caught the night of the tense and exquisite limited series on hbo beginning on sunday is also a deeply detailed procedural but with a difference it has more in common philosophically with the podcast serial whose first subject adnan syed was just granted a new trial netflix s making a murderer and this year s two o j simpson series stories that suggest that who is locked up for what is largely a matter of resources and random fate in the fictional the night of as in those stories someone dies and someone goes to trial but the biggest suspect is the notion of egalitarian justice the worst night of nasir khan s life begins with promise the studious sexually inexperienced son of pakistani immigrants naz as he is known drives his father s cab from queens to manhattan headed to a party he s told there will be girls he never makes it andrea sofia elia a young woman with sad faraway eyes mistakes him for a working cabby and hails a ride it leads to conversation a connection a ride back to her townhouse and then to drugs sex and naz s waking up to find her stabbed to death naz riz ahmed is picked up for the murder smeared with dna evidence in retrospect you see how the creators steven zaillian schindler s list and richard price the wire staged naz s last night of freedom a college kid s walk on the wild side as a pit of circumstantial quicksand the casual encounters that will become eyewitness testimony the chain of bad breaks bad timing and bad decisions mind your armrests when you watch it all unfold you may clutch them right through the upholstery naz is interrogated by detective dennis box bill camp a glum loner whose eyes tell him that the case is even as his gut says something s off naz s defense falls to john stone john turturro a rumpled precinct crawler trolling the lockup for work who lays out the stakes for a young muslim in jail for killing a rich white girl not to sound like a teabagger he says but how do you feel about america stone s part was meant for james gandolfini still listed as a producer it would have been fascinating to see that bearish actor play a courthouse sad sack but mr turturro is a fine fit as is mr camp they re a pair of scuffed shoes on opposite feet of the law the early episodes have a theaterlike intimacy and they pay close attention to the particulars of arrest and processing mr ahmed deftly shows naz s dawning terror as his world becomes ever smaller the cinematography conveys the isolation the disorientation the feeling of being funneled down a dank chute into the system it s a slow ride to hell last stop rikers island a corrections officer asks naz if he belongs to a gang he doesn t but it turns out that yes would have been the better answer well then good luck to you the officer says prison is its own confounding gantlet overseen by an imperious inmate freddy michael kenneth williams characteristically smoldering who may matter more to naz s survival than any judge the later episodes become a more conventional legal story as stone patches together a defense and the case becomes nancy in the media there are nods to tv legal series throughout when stone prints graphics at a copy shop the clerk asks if he works for law order prisoners at rikers spend break time watching daytime court shows the series excels at laying out the snowballing costs of a case financial and psychological naz s parents who lose their livelihood when the cab is impounded can t afford a modest defense fee and have to make decisions on the fly they also lose a measure of trust in their son they want to believe him but like us they didn t see him not commit the murder either and naz s experience in prison suggests that convicted or acquitted he will be permanently changed as a legal procedural the night of is richly detailed but profoundly unglamorous a running subplot involves stone s unappetizing case of foot eczema his journey from doctor to herbal healer to doctor looking for a cure becomes a symbol for the befuddling process of navigating the legal system justice in this grand grim story has feet not of clay but of gross itchy mortal flesh but still it must stumble forward,1,0,0.026040532489629942
first charges filed in russia probe led by u s special counsel source washington reuters a federal grand jury in washington on friday approved the first charges in the investigation led by special counsel robert mueller into alleged russian meddling in the u s presidential election a source briefed on the matter told reuters the filing of the sealed charges was first reported by cnn,1,0,0.037124245278917424
bbc complains to u n over alleged harassment by iran of its persian staff london reuters the bbc said on wednesday it had filed an urgent complaint to the united nations after iran began a criminal investigation into bbc persian staff and contributors accusing them of conspiracy against national security in iran and abroad iran has frozen the assets of bbc persian staff meaning they cannot inherit family assets and preventing them and their families from selling assets such as property or cars in iran all individuals on the list work or have worked for bbc persian part of the bbc world service a reuters correspondent who was working for the bbc until was also on the list this is the latest in a sustained campaign of harassment and persecution which is designed to pressure journalists against continuing their work for the bbc britain s publicly funded broadcaster said in a statement tony hall director general of the bbc added in the statement this is not just a campaign against bbc persian staff but against fundamental human rights and the bbc calls on the government of iran to end this legal action immediately iran accused the bbc of inciting unrest after the disputed re election of president mahmoud ahmadinejad in and said its journalists were broadcasting against the national interests of the islamic republic the following year it banned iranians from contact with dozens of foreign organizations including the bbc which it said were seeking to topple the islamic theocracy the corporation said harassment had been going on since iran s presidential election and included staff being attacked in the press and on social media with defamatory allegations many staff had been subjected to fake news accusing them of sexual impropriety or sexual acts which are illegal in iran including those which attract the death penalty the bbc said it had filed the complaint with david kaye un special rapporteur on the promotion and protection of the right to freedom of opinion and expression bbc persian broadcasts news in persian to iran and the persian speaking world from london on tv radio and online reaching an estimated audience of million a week,1,0,0.037158744744677716
nz aircraft maker pleads guilty to breaching u n sanctions on north korea wellington reuters new zealand aircraft manufacturer pacific aerospace ltd has plead guilty in a new zealand court to indirectly exporting aircraft parts to north korea according to fairfax media new zealand customs charged the hamilton based manufacturer earlier this year with unlawfully sending aircraft parts to north korea in breach of united nations sanctions pacific aerospace and nz customs did not immediately respond to request for comment a u n security council report in february said it had investigated a seater aircraft manufactured by pacific aerospace that had been flown at north korea s wonsan air festival in september the new zealand firm had delivered the plane to its joint venture partner in china and it later been sold to another chinese firm before ending up in north korea in december the u n report included emails from pacific aerospace to china firm indicating it was aware one of its planes was in north korea and offering to provide training and necessary tools to replace some parts new zealand s manukau district court will sentence pacific aerospace in january fairfax reported nz customs said in august the maximum penalty is months imprisonment for an individual and a fine of up to nz for a company the u n security council has unanimously adopted nine sanctions resolutions on north korea since in response to pyongyang s nuclear and missile testing programs,1,0,0.04865824016339309
british protesters tell trump from tower bridge build bridges not walls london reuters a banner reading build bridges not walls was draped across london s tower bridge as part of several protests in europe and asia on friday against the inauguration of donald trump as u s president soon after sunrise activists on the bridge with its two gothic style towers held up pink letters reading act now while others beside parliament unfurled banners saying migrants welcome here there were also demonstrations in japan the philippines and belgium where hundreds of people held a minute s silence lighting candles in friday evening s bitter cold and holding signs defending women s rights in the scottish capital banners on edinburgh s north bridge read women rise up and there is no planet b a reference to trump s perceived lack of interest in combating climate change later after the inauguration ceremony several hundred people gathered outside the u s embassy in london chanting and singing protest songs i m deeply deeply saddened and embarrassed said one of them kim grey from texas i m here because i think the majority of americans who didn t vote for him need to see the solidarity around the world that he s unfit he s unacceptable trump opponents were angered by his comments during last year s election campaign about women illegal immigrants and muslims and his pledges to build a wall on the mexican border in tokyo several hundred people most of them expatriate americans marched along a downtown street holding electric candles or placards reading love trumps hate and women s rights are human rights in the philippines about demonstrators from a philippine nationalist group rallied for about an hour outside the u s embassy in manila some held up signs demanding u s troops leave the philippines while others set fire to a paper u s flag bearing a picture of trump s face at the rally in brussels people held up signs saying proud to be a pussy and we will fight like a girl i have a wife and three daughters i have a vested interest in the equality of women said protestant pastor murray frick i am afraid of a big step backwards in terms of dehumanizing groups of people about my home country losing its moral compass julie chasin a year old teacher originally from new york who has lived in london for a decade joined the tower bridge protest yes donald trump is president but he still needs to protect everybody s rights said chasin a democrat it s scary i hope he s kept in check i hope everyone who is telling me not to worry and saying that we have a strong system of checks and balances i hope that it s true trump s supporters who admire his experience in business and see him as an outsider who will take a fresh approach to politics were also marking his inauguration in london some of them gathered under the gaze of a life sized cardboard figure of trump to celebrate at an exclusive club near the ritz hotel as he completed the oath the room broke into a standing ovation complete with high five celebrations i was expecting him to win said businessman david pattinson it was the same with brexit in how the polls got it wrong in moscow russians hoping trump will usher in a new era of detente welcomed his inauguration russian nationalists held an all night party at what used to be the main soviet era post office in moscow sellers of traditional matryoshka nesting dolls have added trump dolls to their popular line up of items carved in the likeness of president vladimir putin bolshevik revolutionary vladimir lenin ex president mikhail gorbachev and josef stalin and craftsmen in the city of zlatoust east of moscow have released a limited series of silver and gold commemorative coins engraved with in trump we trust an allusion to the phrase on u s banknotes in god we trust in nigeria more than a thousand supporters of a southern secessionist movement took to the streets to welcome trump hoping he will end what they see as the islamization of the west african nation,1,0,0.04948675198589801
u s flies bombers over korea as trump discusses options seoul washington reuters the u s military flew two strategic bombers over the korean peninsula in a show of force late on tuesday as president donald trump met top defense officials to discuss how to respond to any threat from north korea tensions have soared between the united states and north korea following a series of weapons tests by pyongyang and a string of increasingly bellicose exchanges between trump and north korean leader kim jong un north korea has launched two missiles over japan and conducted its sixth nuclear test in recent weeks as it fast advances toward its goal of developing a nuclear tipped missile capable of hitting the u s mainland the two u s air force b b bombers were joined by two f k fighters from the south korean military after leaving their base in guam south korea s joint chiefs of staff said in a statement on wednesday after entering south korean airspace the two bombers carried out air to ground missile drills in waters off the east coast of south korea then flew over the south to waters between it and china to repeat the drill the release said the u s military said in a separate statement it conducted drills with japanese fighters after the exercise with south korea making it the first time u s bombers have conducted training with fighters from both japan and south korea at night the u s bombers had taken off from the andersen air force base in guam in august pyongyang threatened to fire intermediate range missiles toward the vicinity of guam a u s pacific territory that is frequently subjected to sabre rattling from the north south korean and u s government officials have been raising their guard against more north korean provocations with the approach of the nd anniversary of the founding of north korea s ruling party which fell on tuesday trump hosted a discussion on tuesday on options to respond to any north korean aggression or if necessary to prevent pyongyang from threatening the united states and its allies with nuclear weapons the white house said in a statement trump was briefed by secretary of defense james mattis and chairman of the joint chiefs of staff general joseph dunford at a national security team meeting the statement said u s and south korean wartime operational plans including a plan to wipe out the north korean leadership were stolen by north korean hackers last year a south korean ruling party lawmaker said on wednesday some gigabytes of military documents were taken from south korea s defense integrated data center in september last year democratic party representative rhee cheol hee said in radio appearances on wednesday citing information from unidentified south korean defense officials in may an investigative team inside the defense ministry announced the hack had been carried out by north korea but did not disclose what kind of information had been taken the united nations security council which has imposed a series of ever tighter sanctions on north korea has banned four ships from ports globally for carrying coal from north korea including one vessel that also had ammunition the vessels are the first to be designated under stepped up sanctions imposed on north korea by the member council in august and september over two long range ballistic missile launches and pyongyang s sixth and largest nuclear test china north korea s main ally and trading partner has consistently argued sanctions alone will not work urging washington and pyongyang to lower their rhetoric and return to the negotiating table china s influential global times tabloid expressed alarm at how far the rhetoric on both sides had gone and how it had increased the risk of a fatal misjudgment the international community won t accept north korea as a nuclear power north korea needs time and proof to believe that abandoning its nuclear program will contribute to its own political and economic advantage this positive process is worth a try the paper said in an editorial late on tuesday war would be a nightmare for the korean peninsula and surrounding regions we strongly urge north korea and the u s to stop their bellicose posturing and seriously think about a peaceful solution it said,1,0,0.052018005882631585
breaking somalian man takes hostage shots fired in walmart located in texas city overrun by middle eastern refugees update suspect shot and killed video amarillo texas is home to more than mideast migrants giving amarillo the highest refugee ratio in the country update suspect has been shot and killed by apd watch here police and firefighters are at the scene of a reported active shooter situation at a walmart store in amarillo texas the city says apd and several other agencies are on scene at the walmart on georgia police said in a press release there are reports of an armed subject inside who may have hostages more info when it s available please avoid the area so that officers can focus on the scene and not traffic any media is asked to respond to the area of nd and georgia the shooting was first reported at about a m local time the initial call was for a suspect who was actively shooting inside the store according to police radio dispatches which you can listen to below he was said to be a somalian man wearing khaki pants kfda tv reports the gunman has barricaded himself inside the manager s office police said it is not known how many hostages are being held or if anyone was wounded before the hostage situation began this is a developing story check back for updates via heavy com,1,0,0.05231446361032772
iowa racist i beat that man because i m allergic to black people video with the rise of donald trump america s racists are coming out of the woodwork in droves they are also becoming increasingly violent yet another incident of racist violence comes to us from iowa city iowa where a man wearing a surgical mask attacked a black man authorities were called to the scene due to a fight only to find out it was a racist attack the attacker andy benavidez told police that the attack was racially motivated benavidez hurled racist epithets at his victim all the while physically assaulting him the most bizarre part of all was of course the surgical mask and the suspect informed police that the reason for his wearing it was so that he wouldn t be contaminated by black people germs benavidez is facing assault charges for his crime and thanks to the fact that he has admitted that he did it because he is a flaming racist a hate crime charge will be attached as well this sort of thing will only get worse as people are given cause to spew their hatred and lash out in violence it will only be a matter of time before this is a regular and even expected occurrence watch a local news report on the attack below featured image via video screen capture from cbs iowa,1,0,0.05621728184142295
video unbelievable punishment for sexual predator at the epa who was fed a steady diet of interns epa director gina mccarthy gets into a heated exchange with cong jason chaffetz over how she handled a repeat offender of sexual harassment does anyone in government ever get fired i don t think they do,1,0,0.06131396030895552
