text,true_label,predicted_label,prob_fake
trump dismisses buffett s rebuke over his business judgment washington reuters u s republican presidential candidate donald trump on tuesday brushed off billionaire investor warren buffett s blistering critique of his business acumen i don t care much about warren buffett trump said on the fox business television network tuesday morning a day after buffett lashed out at trump in a speech at a campaign rally for democratic candidate hillary clinton buffett a widely followed investor who is chairman and chief executive officer of berkshire hathaway inc scorned trump s move to list trump hotels and casino resorts on the new york stock exchange saying it lost money for the next decade and that a monkey would have outperformed trump s company he also challenged trump to release his tax returns something the real estate mogul and television star has declined to do so far citing an internal revenue service audit trump who has held up his career in business as a qualification to lead the country defended his record running his hotel and casino business in atlantic city new jersey i had great timing i got out after seven years he told fox business on tuesday i took a lot of money out of atlantic city which is what i m supposed to do i m a businessperson trump said he did well in the good times in atlantic city but then times started going very bad trump said he used to invest in u s stocks but got out because i don t like what i m seeing at all pointing to u s immigration policies syrian refugees and what he said were artificially low interest rates he also vowed to spend twice as much on u s infrastructure as clinton who has pledged billion on rebuilding the nation s crumbling roads and bridges among other structures trump who has been criticized by fellow republicans and others for responding too readily to opponents declined to target buffett personally for his comments there s no counter punch buffett on monday vowed to do whatever it takes to get out the vote in his congressional district in nebraska including driving voters himself to the polls to cast ballots with clinton by his side buffett told the crowd that his final straw was trump s critical response to the muslim parents of a decorated u s soldier killed by a bomb in iraq years ago buffett is no on forbes magazine s list of the richest billionaires with a net worth calculated at billion,0,1,0.99989045
watch colbert goes there calls for a new election in hilarious must see monologue late show host stephen colbert has been having a high old time ripping donald trump and his crazy scandal ridden administration to shreds on a nightly basis however no matter his open loathing of trump the comedian never crossed the line of questioning the integrity of the election result until now on tuesday night in a real humdinger of a monologue colbert started in on the story about how nsa contractor reality winner leaked secret documents that revealed that the election hack was much broader than the american public had previously been aware of indeed it seems the russians hacked into the electoral system right up until election day colbert said of this development days before come on guccifer that s poor planning you can t leave your hacking to last minute put some thought into it no one wants an election you just picked up at walgreens that s when colbert hit his home run who really knows who won november th now i mean other than vladimir putin now i m a little rusty on my constitution but i guess that means new election of course the crowd cheered heartily at this and colbert lapped it up and continued let s just get the band back together somebody find jeb and wake him up i don t know where he is check the mild salsa aisle or a store that sells only mayonnaise now all along donald trump has said the entire russia story is fake news and there s no way to know whether this document that was released was real other than the fact that the leaker was immediately arrested all in all there s just so much goodness in this monologue that you just have to watch it for yourself in all seriousness though colbert is right the american public now has very good and valid reasons to question the integrity of the outcome of the presidential election in we do need a new election we have to have faith in our electoral process and we don t have it now it s time to find some constitutional mechanism to make this happen watch colbert s brilliance below featured image via video screen capture,0,1,0.99987614
thing that proves it s a dream must happen soon reckons everyone thing that proves it s a dream must happen soon reckons everyone people are hoping for a clear sign that they are in a dream such as being able to fly or copping off with a celebrity they have revealed the us election result has convinced many britons they are dreaming but something even more bizarre and implausible will happen soon and make them wake up office worker tom logan said trump s the president apparently so i expect some proper dream weirdness will happen soon like being chased through asda by a cyberman it s an odd dream though because i m at work and it s all very detailed almost like real life still at least i m not naked or i ve got some stressful task to do that s really illogical i m sure any minute now i ll be able to laugh at this whole trump business when holly willoughby turns up and takes me for a sexy ride in her helicopter accountant donna sheridan said this is a long dream but nothing totally incongruous has happened yet like taking my childhood dog to get his nails clipped by coldplay s chris martin trump can t have won the election though because that s insane frankly i ll feel better if it turns into a proper nightmare where i m being made to re sit my a levels by a witch he hasn t won has he maybe i should wait a bit before going for a fly out of the window share,0,1,0.99981683
california deputy attorney general charged with child porn reuters a california deputy attorney general has been charged with possessing child pornography at his san diego county home following a months long investigation according to court records and local media raymond liddy was arrested at his home in the resort city of coronado california on tuesday and accused of owning images that appeared to depict minors under age engaging in sexual acts court records showed the san diego union tribune which first reported the case said liddy pleaded not guilty on wednesday in federal court for the southern district of california and that he was placed on administrative leave by the attorney general s office an attorney for liddy and a representative of the attorney general s office did not immediately respond to requests for comment on thursday court records showed judge jan adler released liddy on a bond and sentenced him to house arrest the investigation began in january after the national center for missing and exploited children received tips from an unnamed electronic service provider that a user had allegedly uploaded images of child pornography court documents said helped by the san diego internet crimes against children multi agency task force and the federal bureau of investigation officials said they identified liddy as the suspect in june the deputy attorney general who portrayed himself online as a year old married man with children told investigators who visited him in july that he would talk about sexual fantasies with individuals on the internet and that he often saved sexual images according to court records he told investigators he deleted those images afterward but may also have forwarded some court records showed numerous images depicting minors engaged in sexual acts were found on a computer and a thumb drive at his home the records showed liddy is due back in court for a preliminary hearing aug,0,1,0.99978286
donald trump throws temper tantrum after justice ginsburg humiliates him this is why we love the notorious rbg supreme court justice ruth bader ginsburg has been on the bench for a long time usually the justices of the high court stay out of presidential politics but this is no ordinary election and ginsburg isn t going to stay quiet when the fate of the country hangs in the balance i can t imagine what this place would be i can t imagine what the country would be with donald trump as our president ginsburg told the new york times in an interview published on monday and then she doubled down during an interview with cnn that same day he is a faker he has no consistency about him he says whatever comes into his head at the moment he really has an ego how has he gotten away with not turning over his tax returns the press seems to be very gentle with him on that indeed the media has largely ignored trump s refusal to release his tax returns unlike the way they hounded mitt romney four years ago the washington post and the new york times are both whining about ginsburg s remarks both editorial boards are calling for her to stop name calling and think she should stop talking all together the hypocrisy here is stunning donald trump has said far worse things on the campaign trail then ginsburg has in these two interviews but i don t recall seeing either editorial board telling the republican nominee to shut his mouth furthermore it s not exactly unprecedented for supreme court justices to get involved in presidential politics i seem to recall a certain ruling the high court made in that handed george w bush the presidential election even though it was totally unprecedented for the supreme court to decide such a contest the conservative judges ruled that florida should not count the votes in a race that was incredibly close and could have gone either way if we had just allowed the democratic process to unfold the supreme court should have stayed out of it then regardless when donald trump heard that ginsburg humiliated his sorry ass he exploded on twitter justice ginsburg of the u s supreme court has embarrassed all by making very dumb political statements about me he whined her mind is shot resign justice ginsburg of the u s supreme court has embarrassed all by making very dumb political statements about me her mind is shot resign donald j trump july trump even complained to the new york times which happily gave trump the platform to tell a woman to shut her mouth i think it s highly inappropriate that a united states supreme court judge gets involved in a political campaign frankly i think it s a disgrace to the court and i think she should apologize to the court i couldn t believe it when i saw it it s so beneath the court for her to be making statements like that it only energizes my base even more and i would hope that she would get off the court as soon as possible sorry donald but justice ginsburg isn t retiring any time soon in fact she d probably make sure she stays put if you somehow become president just to spite you the bottom line here is that ruth bader ginsburg is not just a supreme court justice she s a citizen of this country with a right to free speech just like everyone else this is a critical election at a momentous time in this country and ginsburg clearly felt the need to speak up it s hard to believe that if these remarks had come from one of her male colleagues that the post and the times would be throwing such a hissy fit over it trump is spewing unprecedented hate and vitriol in a presidential election but these two newspapers are complaining about ginsburg commenting about it there s something seriously wrong with that featured image branden camp getty images,0,1,0.99974006
mitch mcconnell won t rule out rescinding his endorsement of donald trump the new york times the senate majority leader mitch mcconnell would not rule out the possibility of rescinding his endorsement of donald j trump s presidential bid down the road and he described the candidate as lacking knowledge in a number of areas in an interview released on friday the comments from mr mcconnell in an interview with the masters in politics podcast on bloomberg politics came as republicans down the ballot continue to face questions about mr trump s criticism of the federal judge overseeing a case against trump university as mexican mr mcconnell has been pointed in his criticism of those remarks it was the first time though that mr mcconnell offered anything less than an ironclad response of sticking with mr trump despite the numerous controversies that the presumptive republican nominee has instigated asked if there was a line that mr trump could cross that would prompt mr mcconnell to rescind his endorsement mr mcconnell demurred i m not going to speculate about what he might say or what i might do said the senator from kentucky but i think it s pretty clear i ve been very clear publicly about how i think he ought to change directions and i hope that s what we re going to see this week senator mark kirk of illinois one of the most vulnerable republicans in the senate withdrew his endorsement of mr trump over the remarks about judge gonzalo p curiel senator lindsey graham who has not endorsed mr trump urged other republicans to follow mr kirk s lead at another point mr mcconnell said that he was comfortable with supporting mr trump at the moment suggesting that the candidate would face checks and balances that could curtail him should he get elected for all of his obvious shortcomings donald trump is certainly a different direction and i think if he is in the white house he ll have to respond to the world which elected him and the things that we believe in mr mcconnell said so i m comfortable supporting him but he condemned mr trump s lack of preparedness and said that he will need to factor that into his choice of running mate he needs someone highly experienced and very knowledgeable because it s pretty obvious he doesn t know a lot about the issues mr mcconnell said you see that in the debates in which he s participated it s why i have argued to him publicly and privately that he ought to use a script more often there is nothing wrong with having prepared texts,0,1,0.99972767
new polish pm must defend national interest in debate on eu future warsaw reuters poland should defend its national identity and interests at a time when the european union is debating its own future the country s new prime minister mateusz morawiecki told parliament on tuesday warsaw has grown increasingly isolated in the european union since the law and justice party pis won power two years ago critics say its efforts to assert control over the courts and public media have subverted democratic standards morawiecki was named prime minister last week in a government reshuffle replacing beata szydlo as the pis party gears up for elections over the next three years morawiecki said warsaw s economic policy based on generous public spending and a growing focus on domestic capital instead of foreign investment should not change echoing the eurosceptic pis s calls for more say in brussels policy making for national governments morawiecki said polish sovereignty and tradition should be used in defending national interests the future of the european project is being decided now morawiecki told deputies poland fits perfectly into the european puzzle but it cannot be forced in incorrectly by doing so you will destroy both the puzzle and the piece the former bank executive said britain s decision to leave the bloc has also meant that poland lost an important ally in its calls to curb further eu integration while the election of french president emmanuel macron has fanned new fears in warsaw of losing influence morawiecki said poland would oppose the idea of a multi speed europe which macron supports but which countries in the eu s east fear would mean deeper cooperation in the west at the expense of the bloc s single market we don t want further divisions we oppose splitting of europe between those are who better and those who are inferior morawiecki said he wholeheartedly supported pis s overhaul of the judiciary approved by the lower house of parliament on friday despite the european union s reservations eu officials say the legislation which gives lawmakers de facto control over the selection of judges will threaten the impartiality of the courts addressing economic policy morawiecki said poland should strive to find a golden middle between a lean state which abandons its citizens and a bureaucracy we don t want either our national sovereignty and tradition are an advantage in efforts to modernise poland not a burden as some are trying to tell us he said pis has gained in popularity since becoming the first in post communist poland to govern without a coalition it has benefited from fast economic growth record low unemployment generous welfare and an increased emphasis on traditional catholic values in public life however private investment remains weak with economists saying companies are reluctant to spend amid uncertainty over taxation and the government s influence over the economy morawiecki who as finance minister was also responsible for economic development policy before his appointment as prime minister has long called for a greater role for domestic capital in the economy parliament is due to hold a vote of confidence on morawiecki and his cabinet overnight,0,1,0.999708
unbending on border ireland says there work to do to get brexit deal next month dublin reuters ireland armed with an eu veto and insistent on an open irish border after britain leaves the bloc is hopeful agreement can be reached by mid december but believes sufficient progress has yet to be made foreign minister simon coveney said on thursday his country needed more clarity from london the border between ireland and northern ireland which will be the uk s only land frontier with the bloc after its departure is one of three issues brussels wants broadly solved before it decides next month on whether to move the talks onto a second phase about trade as britain wants i am hopeful this can be reached in december but it is by no means pre determined we need a lot more clarity coveney told a parliamentary committee while repeating that with three weeks to go dublin has still not received proposals from london to allow talks to move on before it can sign off on the first phase of talks the irish government wants britain to spell out in writing how it intends to make good on its commitment that the km mile border will remain as seamless post brexit as it is today dublin has said this can be best achieved if london commits on behalf of northern ireland that there would be no regulatory divergence north and south of the border coveney said that includes all areas from agriculture to state aid rules speaking to reporters in paris ireland s european affairs minister helen mcentee said dublin would continue to resist the idea expressed by some british ministers that talks need to move onto the trade phase before the border issue can be resolved they are asking us to take a leap in the dark and we are not going to take a leap in the dark we need something more concrete mcentee said the border question is particularly sensitive given the decades of violence over whether northern ireland should be part of the uk or ireland some people were killed before the peace agreement we have been very clear in terms of what we re asking for that hasn t changed for months what has changed perhaps is the expectation that ireland maybe when we came under a bit of pressure that we might back off or accept that this would be deferred into phase two coveney said some people seem to be surprised that that s not happening maybe they weren t listening when we told them the first time or the second time or the tenth time but i think people are listening now,0,1,0.99962497
repeal national identity for a wholesome homogeneity in a new world order run by benevolent elites this whole murderous nonsense stinks to high heaven of the hegelian dialectic assad is the problem mass emigration of refugees the reaction and a fractured europe ripe for further globalization the solution i for one am tired of being treated as an idiot without eyes and being awake to the manipulation by the mass murderers and their pet military trigger pullers prefer nationalism over an envisioned hell on earth but thank you so much for playing,0,1,0.99959046
u s agency scraps unused telegraph regulations in trump rules purge washington reuters the u s government is scrapping rules on telegraphs even though carriers no longer exist part of the trump administration s effort to slash regulations the federal communications commission said on thursday the last western union telegram in the united states was sent in and the commission had stopped enforcing the rules in the last major telegram service worldwide ended in india in the fcc said in a notice it was removing outmoded regulations on telegraphs effective in november to further our goals of reducing regulatory burdens eliminating unnecessary rule provisions and making the agency as efficient and effective as possible there are close to pages of fcc media regulations alone at t inc originally known as the american telephone and telegraph company in lamented the fcc s failure to formally stop enforcing some telegraph rules regulations have a tendency to persist long after they outlived any usefulness and it takes real focus and effort to ultimately remove them from the books even when everyone agrees that it is the common sense thing to do the company said the telegraph was demonstrated in in new jersey and by the s was widely used in the united states marking the first communication that traveled faster than a physical message telegrams were popular in the s in part because they cost less than a long distance phone call fcc chairman ajit pai said in may he wanted to remove outdated rules striking irrelevant regulations as just a matter of good housekeeping and others that stand in the way of innovation and investment that would benefit consumers also in may the fcc voted to start a comprehensive review of media regulations the fcc meets next week to vote to end a requirement that each am fm and television broadcast station maintain a main studio located in or near its community of license the rule was to ensure that stations would be accessible and responsive to their communities however a local main studio is no longer needed to fulfill these purposes the fcc said,0,1,0.9995479
