text,true_label,predicted_label,prob_fake
ben carson gets humiliating trump campaign demotion claims he requested it fools no one ben carson was very briefly the republican frontrunner for president of the united states and now he s getting demoted by donald trump s campaign for being too big a liability the campaign which once tweeted a picture of trump eating a taco bowl with the caption i love hispanics thinks carson makes them look bad and sadly they re probably right ben carson has managed to step on every rake in the yard in his bumbling attempt to help trump get elected president he s confided to reporters on the record that trump might make a terrible president but at least we re only looking at four years how bad has carson been for trump dubbing him the worst surrogate ever cbs news emily schultheis pegged carson early on a campaign surrogate s job is to travel across the country and go on tv saying nice things about the candidate and helping boost his or her chances at the presidency what a campaign surrogate is not however supposed to do is suggest their candidate is a bad person admit he has a twitter problem and an issue with humility defend that candidate by suggesting a tv anchor has been charged with a crime and reassure skeptics that even if your candidate is a terrible president it s only for four years so when carson made headlines yet again for screwing up this time naming a list of potential vice presidents trump was considering including alaskan campaign death knell sarah palin carson was removed from the vice presidential planning group or as carson s spin team meekly put it he asked to be removed because he had many more super important jobs to do that lie was exposed in less than a week the real story is that trump kicked carson to the curb because carson had absolutely no idea what he was doing three sources close to the trump campaign said carson didn t leave on his own he was pushed according to sources close to trump s campaign carson was demoted after trump specifically wanted him to head up the vp selection team he submitted names that he thought would be valuable picks and inevitably lost his top spot days later carson allegedly called trump afterwards and was angry that the situation played out like this at this point it s hard not to feel bad for carson having seen the highs of being a front runner carson got smoked in iowa thanks to a vicious lie spread by ted cruz later he would be pulled into a literal closet to hear ted cruz tell him sorry not sorry only to finally give up and throw his lot in with trump a man who once called him a pathological liar barely above a child molester now that same man is firing him and only because carson s mouth almost never bothers communicating with his brain before saying things like he has some major defects there s no question about it just like the rest of us but before we let carson s sadsack routine tug on our heartstrings let s remember that this is a man who ran for president on the premise that the egyptian pyramids were grain silos only to give up and throw his weight behind a man he seems to have nothing but contempt for just to cling a bit longer to the political spotlight carson s right about one thing he does have major defects featured image via justin sullivan getty images,1,0,0.0004373386
u s backed alliance says russian jets struck its fighters in east syria beirut reuters u s backed syrian militias said russian warplanes struck their positions in deir al zor province on monday which moscow denied generating friction between two rival campaigns against islamic state the syrian democratic forces sdf alliance of kurdish and arab militias fighting with a u s led coalition said the attack killed one of its fighters and injured two major general igor konashenkov of russia s defense ministry was cited by ria news agency as issuing a denial saying russia was always careful to ensure its air strikes were accurate a spokesman for the u s led coalition colonel ryan dillon said rounds had hit in the area around the sdf but he could not confirm they were fired by russia a war monitor the syrian observatory for human rights said russian rounds had not hit the sdf near deir al zor the sdf later said it had responded to the source of fire that targeted it from near the city of deir al zor on monday morning without specifying which forces it had attacked russia and the united states back separate offensives against islamic state in eastern syria both of which are advancing in oil rich deir al zor province bordering iraq the assaults are converging on islamic state from opposite sides of the euphrates that bisects the province the jihadists last major foothold in syria with the river often acting as a dividing line but their proximity has at times raised the risk of clashes that could stoke tensions between the competing world powers with russian air support and iran backed militias syrian troops are advancing along the west bank of the river a kurdish commander of the sdf which has approached along the east bank with u s jets and special forces told reuters on monday the alliance expected to completely push islamic state out of its former syrian headquarters of raqqa within a month with the kurdish ypg militia at its forefront the sdf said last week that after seizing percent of raqqa the battle for the city had entered its final stages in the coming days the battles will be at their most intense said jihan sheikh ahmed spokeswoman for the offensive we expect under our plan that we will be able to liberate raqqa in less than a month right to self defence the sdf also captured a large gas field on the euphrates bank on saturday russian and regime forces have mounted a treacherous attack against our forces there with artillery and aircraft the sdf said in a statement we will not stand by with our arms crossed and we will use our legitimate right to self defense on monday russia s deputy foreign minister sergei ryabkov said u s policy in syria was to blame for the death from shelling of russian general valery asapov near deir al zor which the defense ministry in moscow announced on sunday ryabkov called into question u s commitment to the fight against islamic state accusing it of trying to slow the syrian army s advance last week the pentagon accused moscow of bombing sdf positions on the eastern side of the river russia denied this warning the united states it would target the sdf if its own forces came under fire dillon spokesman for the u s led coalition said it was communicating with russia to ensure measures to avoid unintended conflict between the offensives were being followed,1,0,0.00045526755
trump just got punked hard for his acceptance of a purple heart trump s acceptance of a purple heart and his saying that he d always wanted one of those really pissed off a lot of people considering that the way one actually earns a purple heart is to be wounded in action cameron kerr a true purple heart recipient decided to start a satirical gofundme page in response to trump s sheer gall the page called help trump get a purple heart explains that the money raised doesn t actually help trump do anything instead kerr has every penny going to help syrian refugees a group of people that trump says we can t vet and is a huge trojan horse of terrorists kerr said as with seemingly everything else in his life mr trump got one handed to him instead of earning it that being said as a purple heart recipient proof who earned one the old fashioned way by returning from afghanistan one leg lighter i fully endorse his desire to earn one and would happily oblige his interest in doing so by being one of the first to chip in to fly him to the conflict zone of his choosing after all you re never too old to follow your dreams emphasis in source since kerr can t actually accomplish that he is instead turning one of trump s biggest insults to those who serve and sacrifice into something positive let s face it if trump hates it helping it is probably positive the groups to which the money goes are all vetted so donors know that their money actually is going towards its intended cause if trump knew he d probably have a conniption because his name is tied to this the money is going to three different groups in short kerr found a way to turn trump s insults dullness and hatred into something good it s such a crying shame trump won t be able to earn a purple heart the right way is it not however he can help syrians escape their war torn land even if he doesn t realize he s doing it joke s on him photo by alex wong getty images,1,0,0.0007346841
on putin s birthday opposition activists protest call for him to quit moscow st petersburg reuters police detained more than opposition activists on saturday for taking part in a wave of anti kremlin protests across russia in support of jailed opposition leader alexei navalny ahead of a presidential election in march a monitoring group reported under grey skies and intermittent rain over two thousand people gathered in central moscow s pushkin square and chanted russia will be free and russia without putin before walking towards the kremlin and parliament police briefly detained a few people but did not charge anyone it was a different story at rallies in other cities however and the ovd info monitoring group a non profit organization said at least people had been detained in towns in st petersburg putin s home town a reuters witness saw riot police roughly detain at least people ovd info said at least people had been detained in the city navalny who is serving a day jail term for violating rules on public meetings called the rally in moscow and other cities to coincide with putin s th birthday putin who has dominated russia s political landscape for almost years is widely expected to run for what would be his fourth term navalny hopes to run too despite the central election commission declaring him ineligible due to a suspended prison sentence he says was politically motivated one of the moscow protesters held a homemade poster of putin sitting on a mountain of banknotes wearing a crown with the legend happy birthday you little thief others carried posters citing their right to protest some waved russian flags and a few carried inflatable yellow ducks a jokey reference to navalny accusing prime minister dmitry medvedev of owning a lavish estate with a duck house medvedev called the claims politically motivated nonsense in st petersburg some activists waving red and white banners gathered in a square before heading for the city s main street shouting putin is a thief and free navalny the size of saturday s moscow rally and others across russia looked far more modest than navalny backed mass protests in march and june which were widely recognized to be some of the biggest since many of the moscow protesters were teenagers or in their twenties carrying a yellow duck ulugbek apsapayev said he had turned up because he wanted a better future for russia the duck is a sign that we support alexei navalny who also wants only good things for the country but unfortunately we only have vladimir putin and his gang in power putin is popular across the country however especially outside major cities where his strong leadership style and tough foreign policy stance go down well he is expected to confirm later this year that he will run for another six year term opinion polls show he would comfortably beat navalny if the opposition leader was allowed to run navalny says such polls are meaningless because there is no fair political competition putin spent his birthday taking congratulatory calls from other world leaders and chaired a security council meeting authorities had refused to approve most of saturday s rallies but navalny says russians right to protest is enshrined in the constitution a reuters reporter at a rally in the urals city of yekaterinburg saw police detain at least eight people among a crowd of over protesters,1,0,0.0010037582
think your obamacare plan will be like employer coverage think again the new york times when obamacare was developed one goal was to allow americans to use the new marketplaces to buy the same kind of health insurance they had at their jobs people could retire early or quit a corporate job and become a freelancer and still have the great care and financial protection that come with plans but six years into the health law the reality is that a typical obamacare plan looks more like medicaid only with a high deductible the typical marketplace plan covers a small number of doctors and hospitals and offers fewer frills than employer plans the recent exits of many of the national insurers from markets around the country will only heighten the shift that change in norms may not be all bad it largely reflects the preferences of obamacare s consumers who are shopping aggressively for the most affordable health insurance they can find but it is different from how the law s marketplaces were imagined and described when the legislation was written the bill said that benefits should be similar to those from employer plans the law was supposed to help people like professionals hoping for a change president obama infamously promised if you like your doctor you will be able to keep your doctor period as networks of doctors narrow that is getting tough for some shoppers when the first obamacare plans were released for many experts and customers were surprised at how many featured very limited numbers of doctors and hospitals three years later and the trend has only intensified many of the companies providing coverage like unitedhealth group aetna and humana which tended to offer broad networks have been exiting the markets although the local blue cross plans largely remain many are sharply narrowing the networks offered by their exchange plans the other insurers are either local plans that are often tied to a particular health system or a company that specializes in medicaid patients unlike many employer plans these policies often do not allow people to go out of network for care if they want the visit to be covered according to analyses by two consulting firms avalere health and mckinsey the number of plans that offer a wide choice of doctors and hospitals is on a steady decline of plans were health maintenance organization plans that offer care from only a limited choice of doctors and hospitals this year according to an analysis from mckinsey s center for u s health system reform and even plans that offer benefits were limiting the doctors who would be covered as with recent carrier exits this trend is only growing said erica coe a mckinsey partner those changes have been a shock to many professionals who thought the obamacare marketplace would match their previous experience from the corporate world when chris foley left his career in finance to begin one in comedy and acting he assumed his health insurance would look like the coverage he d received while working for big banks the transition was a challenge first he bought a plan through a new york state program before obamacare that had skimpier coverage and bigger deductibles than his corporate plan then when he signed up for his first obamacare plan in he found that his doctor of years wasn t covered by any of the options he needed a colonoscopy last year and had a hard time finding a doctor who was covered he was surprised when he was asked to pay out of pocket for a prescription drug at the pharmacy i was frustrated i was pretty angry about not having good coverage said mr foley who said he briefly considered a return to the corporate world but over time he said he made peace with his skimpier insurance his premiums were affordable i was covered for any kind of disaster or hospital visit or anything like that and that s very important he said insurers say they are shrinking the benefits in response to market pressures what s driving it is the demand from consumers who are paying directly for these plans said jon kingsdale who teaches at the boston university school of public health and is a managing director at the wakely consulting group when they compete on the exchange head to head with plans the plans are winning whether the narrower plans that are dominating the obamacare exchanges are ultimately good or bad for patients health is not clear many of these plans are new and there s not much evidence about whether they do a good job of caring for patients while avoiding providers or simply cover so few doctors particularly specialists that patients struggle to get necessary care one recent study of a narrow network plan in massachusetts found that patients who chose it over a more traditional employer plan spent less on health care and were no worse off there are also longstanding narrow h m o plans like kaiser permanente and the group health cooperative that have good reputations and happy customers but those results may not apply broadly recent surveys from the kaiser family foundation and the commonwealth fund two health research groups found that large majorities of customers liked the cheaper plans they bought many of those customers are not like mr foley they didn t have insurance before or their previous coverage and expectations were based on their experience with medicaid,1,0,0.0013053357
watch donald trump promises he will declare war on isis but there s one giant problem the founding fathers are rolling in their graves during an interview with leslie stahl on minutes which will air on sunday evening donald trump once again blamed president obama for isis and vowed to declare war on the terrorist organization since obama will not we re going to declare war against isis trump said we have to wipe out isis there s just one big problem with that promise it s blatantly unconstitutional for some reason every republican in america seems to think that president obama has the power to declare war and that means none of the republicans who proudly carry pocket versions of the constitution with them have never actually read it article i section clearly states that only congress has the power to declare war the congress shall have power to declare war grant letters of marque and reprisal and make rules concerning captures on land and water that s what the constitution says but just like fox news host jeanine pirro who somehow became an attorney and judge said on friday when she whined about president obama not declaring war on isis trump seems to think the president has that power it s asinine and it is something most people learn in middle school if he wants to blame anyone for not declaring war he should blame republicans in congress it s their job and if they are really that scared of isis they should do it oh but there s more president obama can only do so much to fight isis without a declaration of war from the lazy bums who control congress right now and he s doing it by ordering airstrikes sending military advisers gathering intelligence authorizing drone strikes and working with our allies all of this is combating isis to the point where they are close to being forced underground and their recruiting and finances are suffering and to hear trump talk that s all he plans to do as well trump avoided saying he would use troops in a ground war against isis but bragged that his intelligence network would somehow be stronger even though the american intelligence apparatus is the strongest it has ever been i am going to have very few troops on the ground trump said we re going to have unbelievable intelligence which we need which right now we don t have we don t have the people over there trump also seems to think beating isis is as easy as surrounding them as if they are a country and he claims he ll get nato involved we re going to have surrounding states and very importantly get nato involved because we support nato far more than we should frankly because you have a lot of countries that aren t doing what they re supposed to be doing we have to wipe out isis first of all isis is present in several countries you can t just surround them it s more complicated then that beating isis isn t going to happen in days weeks or even months it s going to take a long time we are talking about an organization that is scattered around and no american president can just force nato to do anything and threatening to pull money or support from nato just because you aren t getting your way isn t how international cooperation works that s how spoiled brats act mike pence then chimed in by blaming president obama and hillary clinton for isis the larger issue here is declining american power in the world i truly do believe that history teaches that weakness arouses evil and whether it be the horrific attack in france the inspired attacks here in the united states the instability in turkey that led to a coup i think that is all a result of a foreign policy of hillary clinton and barack obama that has led from behind and that has sent an inexact unclear message about american resolve here s the video via youtube but president obama did not create the atmosphere in the middle east that allowed isis to rise in the first place that responsibility falls at the feet of president bush who pushed for war in iraq and the republican controlled congress that approved it the unnecessary war with iraq destabilized the region and created a power vacuum that isis took advantage of plus it was president bush who signed the status of forces agreement with iraq that led to the complete withdrawal of troops from iraq so not only does trump fail at american government he fails at american history too featured image via screenshot,1,0,0.0013481079
catalan leader accuses spain of unjustified violence in referendum crackdown barcelona reuters catalan regional leader carles puigdemont accused spanish authorities of using unjustified disproportionate and irresponsible violence in a crackdown on a catalan independence referendum on sunday the batons rubber bullets and violence used by spanish police to prevent voting in what spanish authorities have said was an illegal referendum had shown a dreadful external image of spain he told reporters the unjustified disproportionate and irresponsible violence of the spanish state today has not only failed to stop catalans desire to vote but has helped to clarify all the doubts we had to resolve today he said,1,0,0.0014454066
jeff gundlach s warning and danger for key global markets views october gold kwn king world news here is a look at jeff gundlach s warning and danger for key global markets here is a portion of what peter boockvar wrote today as the world awaits the next round of monetary madness yes markets globally are trading lower after the apple numbers but we are also seeing another rise in interest rates especially in europe it s another day of both bonds and stocks trading lower which makes perfect sense as its contra to the last years where bonds and stocks rallied together and the same trend from to company doug casey rick rule and sprott asset management are pounding the table on that already has a staggering million ounces of gold that just added another massive deposit and is quickly being recognized as one of the greatest gold opportunities we can continue to analyze earnings and the economic fundamentals every which way to try to figure out where stocks go but let s be honest it s all about where rates go in the monetary world we live in the german yr bund is up bps to which would be a closing month high the yr gilt yield is breaking out by bps to the highest since the day of the uk vote the french yr yield is up by bps and the italian yr yield is higher by bps to also a month high i can t blame bond weakness in asia as yields there were little changed the us yr is getting dragged up to testing yesterday s intraday high the us yr yield is up by bps to the highest since early june on the heels of the weak yr note auction yesterday i ll reiterate the factors in our bearish case for bonds in a bond world dominated by central banks damaged bank profitability in japan and europe has the boj and ecb acknowledging their monetary limits with nirp and curve flattening the boj and ecb are also running out of bonds to buy starving pension funds savers and insurance companies of yield is gaining fodder for political pushback against central bankers especially from politicians in europe including in the uk mark carney and janet yellen admit that they re willing to tolerate higher inflation at the same time inflation stats are moving higher with core inflation sticky due to gains in services commodity prices ending their yr bear market i believe will continue to shift headline inflation higher in coming months and quarters crb raw industrials index is just shy of a month high and energy prices are all up y o y atlanta fed wage growth tracker is at its highest level since january foreigners are aggressive net sellers of us notes and bonds b year to date even without fiscal stimulus the us budget deficit is expected to gap higher in coming years also of importance and here is a portion of today s note from art cashin overnight and overseas in asia markets were a bit mixed japan was up a smidge but hong kong and india got dinged smartly shanghai saw more moderate losses in europe stocks are generally lower as crude continues to trade below and apple is getting beat up a bit after their earnings report in other assets the euro rallied a bit against the dollar crude trades near and gold is down a shade consensus the apple fallout weighs on the equity futures crude will be followed closely and could have a big influence if it breaks below if equity selling turns intense traders will watch the s p level a close below that would trigger the gundlach warning stay wary alert and very very nimble a big picture look at gold silver and the u s dollar,1,0,0.0022971183
breaking anthony weiner cooperating with fbi investigation home headlines world news breaking anthony weiner cooperating with fbi investigation fox news reported moments ago that anthony weiner is cooperating with the fbi investigation implications the fbi no longer needs a search warrant to examine the contents of weiner s laptop seized in the investigation as intelligence agency whisperings have been suggesting for days we suspect there must be a smoking gun on weiner s laptop for the fbi to be forced into reopening the investigation for if fbi director comey really wanted to conduct a complete investigation including hillary s thousands of bleached emails he would simply contact the nsa and request the results of an x keyscore search for the results of the email address email protected the fact that this never happened despite the fact that the fbi and doj assuredly knows of this capability and uses it in the investigation of suspects not named hillary clinton indicates to us that the fbi has been forced into this action due to an imminent criminal bombshell regarding hillary s emails likely from an intelligence agency insider,1,0,0.0037113163
video unbelievable punishment for sexual predator at the epa who was fed a steady diet of interns epa director gina mccarthy gets into a heated exchange with cong jason chaffetz over how she handled a repeat offender of sexual harassment does anyone in government ever get fired i don t think they do,1,0,0.004091484
